Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.4953014259,4.04672071344,0.00130735324846,0.0,4.58992532963,8.1892,157.139916848,145.71389349,3.33988,8.08614335758
 01/01  02:00:00,14.6255192318,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.6413787592,0.0,0.0,0.0,1.52997510988,7.4902,3.93195102887,0.0,3.33988,0.592071028869
 01/01  04:00:00,14.6516011103,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.800325152,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  06:00:00,22.6305100564,4.04672071344,0.0127581179553,0.0,4.58992532963,8.1892,160.819575441,151.877781294,8.3497,0.592094147076
 01/01  07:00:00,38.5852274586,4.04672071344,0.00665104553296,0.0,9.17985065927,19.4245,173.129096658,151.239043924,16.6994,5.19065273459
 01/01  08:00:00,46.0469915792,4.04672071344,0.00684009266799,0.0,9.17985065927,26.9147,173.880121508,144.21581226,25.0491,4.61520924797
 01/01  09:00:00,41.8162356865,4.04672071344,0.0,0.0,9.17985065927,26.9147,184.302298297,145.713033754,33.3988,5.19046454325
 01/01  10:00:00,34.3310919379,4.04672071344,0.0,0.0,9.17985065927,19.4245,180.480789242,150.241394996,25.0491,5.19029424561
 01/01  11:00:00,41.828067567,4.04672071344,0.00421068349888,0.0,9.17985065927,26.9147,199.757265021,142.313261557,41.7485,15.6955034637
 01/01  12:00:00,42.6019648224,4.04672071344,0.0,0.0,9.17985065927,26.9147,193.604310965,135.579391343,41.7485,16.2764196225
 01/01  13:00:00,41.8776951023,4.04672071344,0.0,0.0,9.17985065927,26.9147,181.471442519,126.970020736,41.7485,12.7529217825
 01/01  14:00:00,34.3548766611,4.04672071344,0.0,0.0,9.17985065927,19.4245,170.007695299,123.275275966,33.3988,13.3336193328
 01/01  15:00:00,34.3571679991,4.04672071344,0.0,0.0,9.17985065927,19.4245,158.398560978,124.097312845,25.0491,9.25214813314
 01/01  16:00:00,34.3448399794,4.04672071344,0.0,0.0,9.17985065927,19.4245,168.701871572,125.473639575,33.3988,9.82943199704
 01/01  17:00:00,42.8307182534,4.04672071344,0.00437634311243,0.0,9.17985065927,26.9147,186.565426179,126.637019922,50.0982,9.83020625635
 01/01  18:00:00,46.012749983,4.04672071344,0.0,0.0,9.17985065927,26.9147,194.139463082,131.276432334,50.0982,12.7648307482
 01/01  19:00:00,46.0173605218,4.04672071344,0.0,0.0,9.17985065927,26.9147,197.518829073,131.155264002,50.0982,16.2653650708
 01/01  20:00:00,38.6606669143,4.04672071344,0.0,0.0,9.17985065927,19.4245,182.656780993,132.982120711,33.3988,16.2758602815
 01/01  21:00:00,38.6417777363,4.04672071344,0.0,0.0,9.17985065927,19.4245,180.411035404,134.260051692,33.3988,12.7521837118
 01/01  22:00:00,38.5730353881,4.04672071344,0.0,0.0,9.17985065927,19.4245,183.938337558,142.614381504,25.0491,16.2748560541
 01/01  23:00:00,38.4650604295,4.04672071344,0.0,0.0,9.17985065927,19.4245,174.403260048,144.949085051,16.6994,12.7547749971
 01/01  24:00:00,39.2760685247,4.04672071344,0.0,0.0,9.17985065927,19.4245,159.230971724,144.533775145,8.3497,6.34749657914
 01/02  01:00:00,22.5150145188,4.04672071344,0.0,0.0,4.58992532963,8.1892,164.42079948,154.156176236,3.33988,6.92474324376
 01/02  02:00:00,14.6094153226,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  03:00:00,14.6235931215,0.0,0.0,0.0,1.52997510988,7.4902,3.93195978573,0.0,3.33988,0.592079785726
 01/02  04:00:00,14.6361698242,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  05:00:00,14.7873139863,0.0,0.0,0.0,1.52997510988,7.4902,3.93196567686,0.0,3.33988,0.592085676864
 01/02  06:00:00,22.6207155157,4.04672071344,0.00663726358226,0.0,4.58992532963,8.1892,172.858638428,164.488938428,8.3497,0.02
 01/02  07:00:00,38.5856905323,4.04672071344,0.0102905058191,0.0,9.17985065927,19.4245,182.183602299,160.294476092,16.6994,5.18972620714
 01/02  08:00:00,46.0554662242,4.04672071344,0.013873043425,0.0,9.17985065927,26.9147,195.800926532,151.513707966,25.0491,19.2381185656
 01/02  09:00:00,41.8259060871,4.04672071344,0.00154923482872,0.0,9.17985065927,26.9147,195.209238043,144.348617728,33.3988,17.4618203155
 01/02  10:00:00,34.3411617652,4.04672071344,0.0,0.0,9.17985065927,19.4245,170.341149105,130.780030321,25.0491,14.512018784
 01/02  11:00:00,41.8349567907,4.04672071344,0.00128546098562,0.0,9.17985065927,26.9147,175.665259468,120.583293035,41.7485,13.3334664327
 01/02  12:00:00,42.611399703,4.04672071344,0.0,0.0,9.17985065927,26.9147,159.268695612,103.006974232,41.7485,14.5132213804
 01/02  13:00:00,41.8943603986,4.04672071344,0.0,0.0,9.17985065927,26.9147,138.584029483,84.0814150581,41.7485,12.7541144249
 01/02  14:00:00,34.3676152398,4.04672071344,0.0,0.0,9.17985065927,19.4245,124.86026841,79.8825949798,33.3988,11.5788734299
 01/02  15:00:00,34.3660587505,4.04672071344,0.0,0.0,9.17985065927,19.4245,117.442739727,82.5635465016,25.0491,9.83009322573
 01/02  16:00:00,34.354223865,4.04672071344,0.0,0.0,9.17985065927,19.4245,128.421637091,85.770482868,33.3988,9.2523542234
 01/02  17:00:00,42.8406210771,4.04672071344,0.00334082515437,0.0,9.17985065927,26.9147,148.222886211,88.2955863614,50.0982,9.8290998499
 01/02  18:00:00,46.0276273203,4.04672071344,0.0,0.0,9.17985065927,26.9147,152.992544963,89.5609432826,50.0982,13.3334016805
 01/02  19:00:00,46.0336759985,4.04672071344,0.0,0.0,9.17985065927,26.9147,159.776364679,92.2128654664,50.0982,17.4652992122
 01/02  20:00:00,38.6733843696,4.04672071344,0.0,0.0,9.17985065927,19.4245,153.509134693,100.873061115,33.3988,19.237273578
 01/02  21:00:00,38.6528866659,4.04672071344,0.0,0.0,9.17985065927,19.4245,155.266254414,105.590812609,33.3988,16.2766418051
 01/02  22:00:00,38.5820746855,4.04672071344,0.0,0.0,9.17985065927,19.4245,156.353236783,113.841353885,25.0491,17.4627828983
 01/02  23:00:00,38.4732939883,4.04672071344,0.0,0.0,9.17985065927,19.4245,150.177363826,118.967049764,16.6994,14.510914062
 01/02  24:00:00,39.2828473661,4.04672071344,0.0,0.0,9.17985065927,19.4245,139.893632779,123.456517891,8.3497,8.08741488798
 01/03  01:00:00,22.5216002524,4.04672071344,0.0,0.0,4.58992532963,8.1892,143.384607269,133.119513428,3.33988,6.92521384047
 01/03  02:00:00,14.6210518115,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  03:00:00,14.6381277835,0.0,0.0,0.0,1.52997510988,7.4902,3.9319695154,0.0,3.33988,0.592089515402
 01/03  04:00:00,14.650960952,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  05:00:00,15.3163818102,0.0,0.0,0.0,1.52997510988,7.4902,3.93197539111,0.0,3.33988,0.592095391107
 01/03  06:00:00,23.1432354203,4.04672071344,0.00832101183353,0.0,4.58992532963,8.1892,151.93468365,143.56498365,8.3497,0.02
 01/03  07:00:00,38.8217056011,4.04672071344,0.0107637096621,0.0,9.17985065927,19.4245,153.938574203,132.049286712,16.6994,5.18988749062
 01/03  08:00:00,46.0642349798,4.04672071344,0.0141802399554,0.0,9.17985065927,26.9147,163.479226682,119.190321113,25.0491,19.2398055685
 01/03  09:00:00,41.8354519237,4.04672071344,0.00167320428822,0.0,9.17985065927,26.9147,160.541755416,109.679701988,33.3988,17.4632534283
 01/03  10:00:00,34.3528070708,4.04672071344,0.0,0.0,9.17985065927,19.4245,136.565743866,96.4231851776,25.0491,15.0934586883
 01/03  11:00:00,41.8501197032,4.04672071344,0.00145945736278,0.0,9.17985065927,26.9147,141.29171332,86.788079351,41.7485,12.7551339693
 01/03  12:00:00,42.6257113225,4.04672071344,0.0,0.0,9.17985065927,26.9147,126.704024035,70.4412085077,41.7485,14.514315527
 01/03  13:00:00,41.9175555082,4.04672071344,0.0,0.0,9.17985065927,26.9147,108.341279574,53.8383653466,41.7485,12.7544142272
 01/03  14:00:00,34.4055123215,4.04672071344,0.0,0.0,9.17985065927,19.4245,95.3970029664,50.4196611323,33.3988,11.5785418341
 01/03  15:00:00,34.4095091155,4.04672071344,0.0,0.0,9.17985065927,19.4245,88.0557681884,53.1753558186,25.0491,9.8313123698
 01/03  16:00:00,34.3990962282,4.04672071344,0.0,0.0,9.17985065927,19.4245,99.712517293,56.4825505721,33.3988,9.83116672083
 01/03  17:00:00,42.8703293268,4.04672071344,0.00551405322215,0.0,9.17985065927,26.9147,123.292787558,63.363000992,50.0982,9.83158656637
 01/03  18:00:00,46.0451518706,4.04672071344,0.0,0.0,9.17985065927,26.9147,133.877706474,71.0246034995,50.0982,12.7549029749
 01/03  19:00:00,46.0489062947,4.04672071344,0.0,0.0,9.17985065927,26.9147,141.390512218,73.2453787816,50.0982,18.0469334368
 01/03  20:00:00,38.5452878859,4.04672071344,0.0,0.0,9.17985065927,19.4245,130.076448025,77.4393199013,33.3988,19.2383281232
 01/03  21:00:00,38.5348475588,4.04672071344,0.0,0.0,9.17985065927,19.4245,127.305539706,77.6337770981,33.3988,16.2729626077
 01/03  22:00:00,38.4927938601,4.04672071344,0.0,0.0,9.17985065927,19.4245,129.506835726,86.9938598553,25.0491,17.4638758705
 01/03  23:00:00,38.4821893139,4.04672071344,0.0,0.0,9.17985065927,19.4245,126.265793904,95.0549962532,16.6994,14.5113976509
 01/03  24:00:00,39.2895921488,4.04672071344,0.0,0.0,9.17985065927,19.4245,111.168954854,94.7330743249,8.3497,8.08618052917
 01/04  01:00:00,22.5297388598,4.04672071344,0.0,0.0,4.58992532963,8.1892,111.290101165,101.025920793,3.33988,6.92430037237
 01/04  02:00:00,14.6431333268,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  03:00:00,14.6654387468,0.0,0.0,0.0,1.52997510988,7.4902,3.93194730604,0.0,3.33988,0.592067306043
 01/04  04:00:00,14.6787534755,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  05:00:00,14.8297596567,0.0,0.0,0.0,1.52997510988,7.4902,3.93195321701,0.0,3.33988,0.592073217008
 01/04  06:00:00,22.6469417319,4.04672071344,0.00594119538577,0.0,4.58992532963,8.1892,105.449694366,97.0799943661,8.3497,0.02
 01/04  07:00:00,38.6113302708,4.04672071344,0.0129322038602,0.0,9.17985065927,19.4245,111.097242059,89.2071789471,16.6994,5.19066311205
 01/04  08:00:00,46.087860106,4.04672071344,0.0172210863538,0.0,9.17985065927,26.9147,125.696630878,81.4088760363,25.0491,19.2386548418
 01/04  09:00:00,41.85358297,4.04672071344,0.0,0.0,9.17985065927,26.9147,129.521643769,78.6574503439,33.3988,17.4653934255
 01/04  10:00:00,34.3734561713,4.04672071344,0.0,0.0,9.17985065927,19.4245,109.466183888,69.3232201132,25.0491,15.0938637751
 01/04  11:00:00,41.884549019,4.04672071344,0.0023067746472,0.0,9.17985065927,26.9147,116.607746855,62.1048322568,41.7485,12.7544145978
 01/04  12:00:00,42.6527308027,4.04672071344,0.0,0.0,9.17985065927,26.9147,105.814420266,49.5533079374,41.7485,14.512612329
 01/04  13:00:00,41.9621109926,4.04672071344,0.0,0.0,9.17985065927,26.9147,91.0553189521,35.9738289928,41.7485,13.3329899594
 01/04  14:00:00,34.4462891911,4.04672071344,0.0,0.0,9.17985065927,19.4245,79.1770970492,34.7756007523,33.3988,11.0026962969
 01/04  15:00:00,34.4460837394,4.04672071344,0.0,0.0,9.17985065927,19.4245,74.8475923677,39.9673631694,25.0491,9.83112919821
 01/04  16:00:00,34.4252501575,4.04672071344,0.0,0.0,9.17985065927,19.4245,90.6653583282,47.4348188186,33.3988,9.83173950959
 01/04  17:00:00,42.8912192441,4.04672071344,0.00576714410831,0.0,9.17985065927,26.9147,115.940739917,56.0127886779,50.0982,9.82975123932
 01/04  18:00:00,46.0540665795,4.04672071344,0.0,0.0,9.17985065927,26.9147,124.472238384,61.0410722343,50.0982,13.3329661498
 01/04  19:00:00,46.0562144134,4.04672071344,0.0,0.0,9.17985065927,26.9147,127.818011431,60.2552721351,50.0982,17.464539296
 01/04  20:00:00,38.6964669451,4.04672071344,0.0,0.0,9.17985065927,19.4245,118.958929524,66.3203876886,33.3988,19.239741835
 01/04  21:00:00,38.6757006259,4.04672071344,0.0,0.0,9.17985065927,19.4245,120.627985844,70.9532095032,33.3988,16.2759763405
 01/04  22:00:00,38.6007067974,4.04672071344,0.0,0.0,9.17985065927,19.4245,123.616175282,80.5196889298,25.0491,18.0473863518
 01/04  23:00:00,38.4879772002,4.04672071344,0.0,0.0,9.17985065927,19.4245,116.155447636,84.9432796468,16.6994,14.5127679894
 01/04  24:00:00,39.2943354161,4.04672071344,0.0,0.0,9.17985065927,19.4245,109.269974023,92.8333815426,8.3497,8.08689248014
 01/05  01:00:00,22.5305979479,4.04672071344,0.0,0.0,4.58992532963,8.1892,111.954606285,102.267536575,3.33988,6.34718970994
 01/05  02:00:00,14.6444942328,0.0,0.0,0.0,1.52997510988,7.4902,3.93197069489,0.0,3.33988,0.592090694886
 01/05  03:00:00,14.6650385947,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/05  04:00:00,14.676417782,0.0,0.0,0.0,1.52997510988,7.4902,3.93197143661,0.0,3.33988,0.592091436613
 01/05  05:00:00,14.8258870319,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/05  06:00:00,22.6419895691,4.04672071344,0.00562034603289,0.0,4.58992532963,8.1892,122.856177055,113.914405552,8.3497,0.592071502673
 01/05  07:00:00,38.6033696658,4.04672071344,0.011362000502,0.0,9.17985065927,19.4245,126.833143235,105.51765102,16.6994,4.61609221425
 01/05  08:00:00,46.0762432534,4.04672071344,0.0150613390816,0.0,9.17985065927,26.9147,143.408741842,98.5366773412,25.0491,19.8229645005
 01/05  09:00:00,41.8462370255,4.04672071344,0.00172250087754,0.0,9.17985065927,26.9147,144.27483212,93.4104958067,33.3988,17.4655363138
 01/05  10:00:00,34.3657457666,4.04672071344,0.0,0.0,9.17985065927,19.4245,122.069074091,82.5057808603,25.0491,14.5141932309
 01/05  11:00:00,41.8639579731,4.04672071344,0.0016532505703,0.0,9.17985065927,26.9147,127.630506664,72.5481552287,41.7485,13.3338514357
 01/05  12:00:00,42.6503515561,4.04672071344,0.0,0.0,9.17985065927,26.9147,108.871859597,52.6089447781,41.7485,14.5144148193
 01/05  13:00:00,41.9676296146,4.04672071344,0.0,0.0,9.17985065927,26.9147,88.5658192176,34.0622619642,41.7485,12.7550572533
 01/05  14:00:00,34.4608203888,4.04672071344,0.0,0.0,9.17985065927,19.4245,72.7971597927,27.8177855434,33.3988,11.5805742493
 01/05  15:00:00,34.4728651432,4.04672071344,0.0,0.0,9.17985065927,19.4245,62.615177376,27.7348742876,25.0491,9.83120308836
 01/05  16:00:00,34.4666217228,4.04672071344,0.0,0.0,9.17985065927,19.4245,73.5858356095,30.3563035813,33.3988,9.83073202822
 01/05  17:00:00,42.936142677,4.04672071344,0.00685857488002,0.0,9.17985065927,26.9147,98.3784667867,38.449679934,50.0982,9.83058685262
 01/05  18:00:00,46.0889330185,4.04672071344,0.0,0.0,9.17985065927,26.9147,110.813387077,47.3801873097,50.0982,13.3349997678
 01/05  19:00:00,46.0770206586,4.04672071344,0.0,0.0,9.17985065927,26.9147,115.918435178,48.353577539,50.0982,17.4666576393
 01/05  20:00:00,38.7038671449,4.04672071344,0.0,0.0,9.17985065927,19.4245,111.474834162,58.8363810209,33.3988,19.2396531407
 01/05  21:00:00,38.680076272,4.04672071344,0.0,0.0,9.17985065927,19.4245,115.806403823,66.1276586532,33.3988,16.2799451697
 01/05  22:00:00,38.6047869167,4.04672071344,0.0,0.0,9.17985065927,19.4245,117.538358066,74.4420066891,25.0491,18.0472513769
 01/05  23:00:00,38.4924821746,4.04672071344,0.0,0.0,9.17985065927,19.4245,110.588576781,79.3747644999,16.6994,14.5144122811
 01/05  24:00:00,39.2976546002,4.04672071344,0.0,0.0,9.17985065927,19.4245,104.47901145,88.0428405413,8.3497,8.08647090846
 01/06  01:00:00,22.5334399517,4.04672071344,0.0,0.0,4.58992532963,8.1892,104.622486373,94.3578135869,3.33988,6.92479278647
 01/06  02:00:00,14.6525571107,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/06  03:00:00,14.6772096399,0.0,0.0,0.0,1.52997510988,7.4902,3.93193380449,0.0,3.33988,0.592053804491
 01/06  04:00:00,14.6911149651,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/06  05:00:00,15.3580161267,0.0,0.0,0.0,1.52997510988,7.4902,3.93193973694,0.0,3.33988,0.592059736943
 01/06  06:00:00,23.1662652403,4.04672071344,0.0,0.0,4.58992532963,8.1892,94.6412925774,86.2715925774,8.3497,0.02
 01/06  07:00:00,38.8516838946,4.04672071344,0.0146126621067,0.0,9.17985065927,19.4245,97.7015650131,75.8113527461,16.6994,5.19081226703
 01/06  08:00:00,46.1104036393,4.04672071344,0.0197430591916,0.0,9.17985065927,26.9147,107.933610709,63.6459007544,25.0491,19.2386099549
 01/06  09:00:00,41.8802406515,4.04672071344,0.0,0.0,9.17985065927,26.9147,111.712486479,60.2653549468,33.3988,18.0483315326
 01/06  10:00:00,34.408951133,4.04672071344,0.0,0.0,9.17985065927,19.4245,95.534749386,55.972567579,25.0491,14.513081807
 01/06  11:00:00,41.9193223823,4.04672071344,0.00997281595943,0.0,9.17985065927,26.9147,108.505803911,53.4233310042,41.7485,13.3339729065
 01/06  12:00:00,42.6570099887,4.04672071344,0.0,0.0,9.17985065927,26.9147,104.140712776,47.8787970021,41.7485,14.513415774
 01/06  13:00:00,41.9560614212,4.04672071344,0.0,0.0,9.17985065927,26.9147,97.0764095923,42.5738099842,41.7485,12.7540996081
 01/06  14:00:00,34.4206392386,4.04672071344,0.0,0.0,9.17985065927,19.4245,94.7011688206,49.7221838157,33.3988,11.5801850049
 01/06  15:00:00,34.4074807699,4.04672071344,0.0,0.0,9.17985065927,19.4245,94.9065580398,60.0257595668,25.0491,9.83169847302
 01/06  16:00:00,34.3813150264,4.04672071344,0.0,0.0,9.17985065927,19.4245,113.154099221,69.9246314388,33.3988,9.83066778237
 01/06  17:00:00,42.8662721129,4.04672071344,0.00589521645183,0.0,9.17985065927,26.9147,134.365120357,74.4355212171,50.0982,9.83139913977
 01/06  18:00:00,46.0446017048,4.04672071344,0.0,0.0,9.17985065927,26.9147,134.994328342,71.5628581557,50.0982,13.3332701861
 01/06  19:00:00,46.0527477486,4.04672071344,0.00375372867486,0.0,9.17985065927,26.9147,132.500831315,64.9394699145,50.0982,17.4631614008
 01/06  20:00:00,38.5506399876,4.04672071344,0.0,0.0,9.17985065927,19.4245,120.90772589,67.7837230883,33.3988,19.7252028022
 01/06  21:00:00,38.5406703591,4.04672071344,0.0,0.0,9.17985065927,19.4245,117.861265905,68.6652063093,33.3988,15.7972595956
 01/06  22:00:00,38.4997720738,4.04672071344,0.0,0.0,9.17985065927,19.4245,116.656175267,73.5573708382,25.0491,18.0497044284
 01/06  23:00:00,38.4924125844,4.04672071344,0.0,0.0,9.17985065927,19.4245,107.359577218,76.1465911115,16.6994,14.5135861063
 01/06  24:00:00,39.2990154851,4.04672071344,0.0,0.0,9.17985065927,19.4245,98.1380511398,81.1242823267,8.3497,8.66406881311
 01/07  01:00:00,22.5362431098,4.04672071344,0.00146843387537,0.0,4.58992532963,8.1892,103.75957315,94.0699867961,3.33988,6.34970635407
 01/07  02:00:00,14.6543721768,0.0,0.0,0.0,1.52997510988,7.4902,3.93196164475,0.0,3.33988,0.592081644754
 01/07  03:00:00,14.6767762609,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/07  04:00:00,14.6879649387,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/07  05:00:00,14.8388064379,0.0,0.0,0.0,1.52997510988,7.4902,3.93194169414,0.0,3.33988,0.592061694138
 01/07  06:00:00,22.6519527783,4.04672071344,0.00689867756307,0.0,4.58992532963,8.1892,104.259221252,95.889521252,8.3497,0.02
 01/07  07:00:00,38.6114536875,4.04672071344,0.0127367853458,0.0,9.17985065927,19.4245,114.007244346,92.1183393162,16.6994,5.18950503014
 01/07  08:00:00,46.0756952198,4.04672071344,0.0105544070112,0.0,9.17985065927,26.9147,114.487420007,84.2482247097,25.0491,5.19009529714
 01/07  09:00:00,41.8460624989,4.04672071344,0.00305899753422,0.0,9.17985065927,26.9147,121.415749497,82.8265925421,33.3988,5.19035695457
 01/07  10:00:00,34.3641115168,4.04672071344,0.0015849412016,0.0,9.17985065927,19.4245,122.580367439,81.2517510014,25.0491,16.2795164377
 01/07  11:00:00,41.8616681489,4.04672071344,0.00356768551092,0.0,9.17985065927,26.9147,132.374389557,76.1107920527,41.7485,14.5150975042
 01/07  12:00:00,42.6317508876,4.04672071344,0.0,0.0,9.17985065927,26.9147,121.955826355,63.9292085341,41.7485,16.2781178205
 01/07  13:00:00,41.919191343,4.04672071344,0.0,0.0,9.17985065927,26.9147,115.615651548,57.5874689761,41.7485,16.2796825714
 01/07  14:00:00,34.4016850325,4.04672071344,0.0,0.0,9.17985065927,19.4245,103.389945003,55.4755317791,33.3988,14.5156132236
 01/07  15:00:00,34.4021286213,4.04672071344,0.0,0.0,9.17985065927,19.4245,96.0710534459,57.6873362538,25.0491,13.3346171921
 01/07  16:00:00,34.3864414392,4.04672071344,0.0,0.0,9.17985065927,19.4245,107.05539694,60.9013040036,33.3988,12.7552929363
 01/07  17:00:00,41.8044516633,4.04672071344,0.00428768241006,0.0,9.17985065927,26.9147,126.938966847,65.2595965641,50.0982,11.5811702831
 01/07  18:00:00,46.0419568524,4.04672071344,0.0,0.0,9.17985065927,26.9147,134.562438553,71.1301732999,50.0982,13.3340652534
 01/07  19:00:00,46.0507530028,4.04672071344,0.00357468882621,0.0,9.17985065927,26.9147,130.505342837,62.9423908258,50.0982,17.4647520108
 01/07  20:00:00,38.6923449429,4.04672071344,0.0,0.0,9.17985065927,19.4245,112.186121682,60.7404475894,33.3988,18.0468740923
 01/07  21:00:00,38.6729247878,4.04672071344,0.0,0.0,9.17985065927,19.4245,116.827274401,67.1522505188,33.3988,16.2762238818
 01/07  22:00:00,38.6011222053,4.04672071344,0.0,0.0,9.17985065927,19.4245,115.103642359,72.0082179022,25.0491,18.0463244566
 01/07  23:00:00,38.488928093,4.04672071344,0.0,0.0,9.17985065927,19.4245,114.112320611,84.6573965503,16.6994,12.7555240609
 01/07  24:00:00,39.2922440266,4.04672071344,0.0,0.0,9.17985065927,19.4245,116.577871453,98.3971628797,8.3497,9.83100857338
 01/08  01:00:00,22.5315669111,4.04672071344,0.00136341651941,0.0,4.58992532963,8.1892,129.64867693,118.220664612,3.33988,8.08813231787
 01/08  02:00:00,14.6404130812,0.0,0.0,0.0,1.52997510988,7.4902,3.93196684717,0.0,3.33988,0.592086847166
 01/08  03:00:00,14.656017881,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/08  04:00:00,14.6636032344,0.0,0.0,0.0,1.52997510988,7.4902,3.93195208401,0.0,3.33988,0.592072084012
 01/08  05:00:00,14.8098860469,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/08  06:00:00,22.6329731903,4.04672071344,0.0102846865981,0.0,4.58992532963,8.1892,163.980811818,155.03903382,8.3497,0.592077997532
 01/08  07:00:00,38.5918873252,4.04672071344,0.0102169110063,0.0,9.17985065927,19.4245,172.848035989,151.532299794,16.6994,4.61633619513
 01/08  08:00:00,46.0519796915,4.04672071344,0.00870901157182,0.0,9.17985065927,26.9147,170.720914279,140.481549056,25.0491,5.19026522366
 01/08  09:00:00,41.8201988201,4.04672071344,0.0,0.0,9.17985065927,26.9147,176.640555344,138.051781975,33.3988,5.18997336887
 01/08  10:00:00,34.3357137333,4.04672071344,0.0,0.0,9.17985065927,19.4245,171.255869438,141.015845166,25.0491,5.19092427176
 01/08  11:00:00,41.8317474785,4.04672071344,0.00314608197106,0.0,9.17985065927,26.9147,189.373490045,131.345882907,41.7485,16.2791071376
 01/08  12:00:00,42.6072294197,4.04672071344,0.0,0.0,9.17985065927,26.9147,180.163204515,122.134619977,41.7485,16.280084538
 01/08  13:00:00,41.8837112169,4.04672071344,0.0,0.0,9.17985065927,26.9147,169.294196781,114.211364532,41.7485,13.3343322491
 01/08  14:00:00,34.360137622,4.04672071344,0.0,0.0,9.17985065927,19.4245,157.75083703,111.595605941,33.3988,12.7564310892
 01/08  15:00:00,34.3624009018,4.04672071344,0.0,0.0,9.17985065927,19.4245,148.950194156,114.069956057,25.0491,9.83113809908
 01/08  16:00:00,34.3497240302,4.04672071344,0.0,0.0,9.17985065927,19.4245,159.663692847,116.432634353,33.3988,9.83225849404
 01/08  17:00:00,41.775673511,4.04672071344,0.00304581119776,0.0,9.17985065927,26.9147,178.837914615,118.908259648,50.0982,9.83145496653
 01/08  18:00:00,46.018458172,4.04672071344,0.0,0.0,9.17985065927,26.9147,180.343813358,116.910893881,50.0982,13.334719477
 01/08  19:00:00,46.0231266707,4.04672071344,0.0,0.0,9.17985065927,26.9147,177.559285247,111.17927181,50.0982,16.2818134372
 01/08  20:00:00,38.6673441815,4.04672071344,0.0,0.0,9.17985065927,19.4245,160.332319676,110.654468901,33.3988,16.2790507754
 01/08  21:00:00,38.6486869448,4.04672071344,0.0,0.0,9.17985065927,19.4245,156.370160928,109.637618015,33.3988,13.3337429132
 01/08  22:00:00,38.5799577727,4.04672071344,0.0,0.0,9.17985065927,19.4245,158.502505153,117.180819402,25.0491,16.2725857508
 01/08  23:00:00,38.4720249166,4.04672071344,0.0,0.0,9.17985065927,19.4245,150.21651183,120.762342671,16.6994,12.7547691589
 01/08  24:00:00,39.2823725459,4.04672071344,0.0,0.0,9.17985065927,19.4245,137.939228621,122.665398212,8.3497,6.92413040912
 01/09  01:00:00,22.5224634298,4.04672071344,0.0,0.0,4.58992532963,8.1892,141.502025965,131.814113435,3.33988,6.34803252997
 01/09  02:00:00,14.6234583038,0.0,0.0,0.0,1.52997510988,7.4902,3.93197627334,0.0,3.33988,0.592096273335
 01/09  03:00:00,14.6419689343,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/09  04:00:00,14.6551333609,0.0,0.0,0.0,1.52997510988,7.4902,3.93194773619,0.0,3.33988,0.592067736188
 01/09  05:00:00,14.806742107,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/09  06:00:00,22.6345639888,4.04672071344,0.00765657375844,0.0,4.58992532963,8.1892,138.41613364,129.474359995,8.3497,0.592073644683
 01/09  07:00:00,38.5966446022,4.04672071344,0.0107788800936,0.0,9.17985065927,19.4245,143.53480072,122.21948093,16.6994,4.61591978997
