Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,44.8048925396,5.57157363365,0.045901831662,8.6207717162,12.925468867,10.100111941,54.6952065364,48.9245638224,0.0,5.77064271403
 01/01  02:00:00,46.7902697469,5.63566144179,0.0364150503125,10.5528118621,12.925468867,10.100111941,52.6334273954,52.6134273954,0.0,0.02
 01/01  03:00:00,43.3873967202,5.67567654944,0.027027204533,11.7383469022,8.34152022915,10.0650221343,57.863766855,52.100471601,0.0,5.76329525399
 01/01  04:00:00,44.104732803,5.69907583861,0.0209544275559,12.4383553448,8.34152022915,10.0650221343,57.3254266585,51.5623388843,0.0,5.76308777425
 01/01  05:00:00,46.103151127,5.7119396521,0.0161509471581,12.8219502617,8.34152022915,11.6705166398,56.5775610099,50.8068655614,0.0,5.77069544852
 01/01  06:00:00,50.6801715338,5.72529370453,0.0115246721579,13.2317880959,8.80141237637,15.3678112995,55.6038650158,49.8253044441,0.0,5.77856057164
 01/01  07:00:00,68.8582728592,5.66330409946,0.0197761004795,11.486728346,18.5082010057,25.6353820695,59.640069617,48.072885447,0.0,11.56718417
 01/01  08:00:00,79.8694351468,5.5446382604,0.045470644349,8.01934089075,19.4926561212,41.1001056674,62.166140918,44.7100834211,0.0,17.4560574969
 01/01  09:00:00,94.6363219423,5.45495641406,0.566797765806,4.24863481583,26.3286599382,57.9988325916,77.8695966442,36.1753371334,0.0,41.6942595108
 01/01  10:00:00,82.5247740704,5.4807016757,2.19247630757,5.75981727818,26.2443270014,42.8153538416,87.2532052689,33.7284420766,18.025,35.4997631923
 01/01  11:00:00,61.5639784093,5.56625303733,2.3180132412,8.46299326397,21.7447113004,23.4437158914,80.4322289419,32.935775338,18.025,29.471453604
 01/01  12:00:00,59.4948643798,5.57894749033,2.37270997065,8.7288207353,19.3449162599,23.4437158914,79.320573857,31.906491165,18.025,29.3890826919
 01/01  13:00:00,58.9968316685,5.56590915282,2.23305769789,8.24161069795,19.190480192,23.7425572507,72.027135575,30.5586340131,18.025,23.4435015619
 01/01  14:00:00,58.3572810839,5.54459649543,2.26611281752,7.56419587361,19.260583323,23.698576057,68.3314577475,26.8580848205,18.025,23.4483729269
 01/01  15:00:00,57.7014499328,5.52145108142,2.33519257814,6.86242754997,19.260583323,23.698576057,66.9402450749,25.4627479632,18.025,23.4524971118
 01/01  16:00:00,57.0600489566,5.51109895914,2.34432226839,6.5122011755,19.260583323,23.4086260847,73.5028851913,26.1753344448,18.025,29.3025507465
 01/01  17:00:00,64.3176702286,5.50703668547,1.54180649352,6.35706508342,19.260583323,27.8781056672,49.8195677126,26.0238371612,18.025,5.77073055136
 01/01  18:00:00,73.375832857,5.44734460969,0.0789620777806,4.54713827113,18.1807569449,37.5792895564,32.1772967539,26.3989128568,0.0,5.77838389705
 01/01  19:00:00,84.8563652835,5.38118619891,0.233077812577,2.04598468817,32.6059821062,37.0465235296,35.5645415282,29.7786265093,0.0,5.78591501886
 01/01  20:00:00,84.4796049636,5.38475703976,0.492212118311,1.17512994861,36.8143715336,33.066984531,42.3836532682,30.8015375326,0.0,11.5821157356
 01/01  21:00:00,90.4606065504,5.47355499079,1.21863956197,0.981404876805,36.43363367,38.8072253906,45.005825825,33.4242186969,0.0,11.5816071281
 01/01  22:00:00,88.4139178475,5.50782567187,1.45810487827,1.01769044527,36.0963922311,36.7877557581,46.7822625071,35.1996703935,0.0,11.5825921136
 01/01  23:00:00,66.3956804177,5.36995816213,0.293359074478,1.6215842084,30.9507766546,20.6087787026,54.6001747934,37.1465387628,0.0,17.4536360306
 01/01  24:00:00,47.6134098646,5.46984987458,0.0700544017045,5.39793324849,17.4250845679,11.7056064465,52.2651931361,40.6988961097,0.0,11.5662970264
 01/02  01:00:00,42.2575451164,5.53611462835,0.0485992922414,7.4254928088,11.6412384099,10.0650221343,49.5373266303,43.7664129373,0.0,5.77091369298
 01/02  02:00:00,42.1524790228,5.58302895607,0.039752850353,8.8432109894,10.0992000411,10.047477231,50.8004702377,45.0369864832,0.0,5.76348375456
 01/02  03:00:00,41.7752677731,5.62967822585,0.0311248346274,10.2875378343,8.25718729233,10.0299323277,47.256178189,47.236178189,0.0,0.02
 01/02  04:00:00,42.9955167157,5.66812928344,0.0239013710258,11.4765584423,8.25718729233,10.0299323277,55.1232231786,49.3599278479,0.0,5.76329533064
 01/02  05:00:00,45.0506075801,5.68346501829,0.0189138392491,11.91453668,8.25718729233,11.6354268332,54.4742893725,48.7033584944,0.0,5.7709308781
 01/02  06:00:00,52.0377016497,5.66309316206,0.0190912626424,11.341687547,12.1011305571,15.3678112995,57.1043097349,45.5369314074,0.0,11.5673783275
 01/02  07:00:00,76.8983915022,5.51035556955,0.104200466266,6.7409416043,19.7275818095,37.2640762949,60.8134736094,43.3569768275,0.0,17.4564967819
 01/02  08:00:00,90.9436361641,5.45818882472,0.527310663552,3.69449687997,24.3117294858,51.2795993405,63.2761819648,39.8847320583,0.0,23.3914499066
 01/02  09:00:00,76.9894191949,5.50915413165,0.34314660714,6.80134401418,23.6694662846,40.6342015617,66.5598218162,31.0567578324,0.0,35.5030639838
 01/02  10:00:00,73.0684582259,5.48177893143,2.27262010978,5.98607703512,23.6694662846,35.6302164847,75.5289194608,28.0384618823,18.025,29.4654575785
 01/02  11:00:00,56.7391934529,5.51919456118,2.46510310715,7.02391915661,18.7433767983,22.9618409725,74.6171788031,27.1985774993,18.025,29.3936013038
 01/02  12:00:00,56.5484809414,5.51476314295,2.52783866251,6.77744107446,18.7433767983,22.9618409725,67.4907047051,26.0103481027,18.025,23.4553566025
 01/02  13:00:00,55.0026436008,5.4685291486,2.43760478771,5.32462443923,18.5889407304,23.1597249699,63.7174829734,22.2423014969,18.025,23.4501814765
 01/02  14:00:00,55.030257562,5.4646703401,2.41537699877,5.13181878104,18.7433767983,23.2517909448,63.7015796038,20.4288754813,18.025,25.2477041224
 01/02  15:00:00,54.6037945132,5.44819419072,2.41430178332,4.72291174629,18.7433767983,23.2517909448,65.6695354634,20.1352710503,18.025,27.5092644131
 01/02  16:00:00,54.0711872082,5.44017534082,2.42131088883,4.48126445624,18.7433767983,22.9618409725,62.8617982613,21.3900354356,18.025,23.4467628256
 01/02  17:00:00,61.0798749008,5.42708412674,1.62273448162,4.08227803309,18.7433767983,27.431320555,45.0731304826,21.2773523032,18.025,5.77077817945
 01/02  18:00:00,73.4917983699,5.37196248237,0.173328878637,2.04218586402,17.6635504202,40.6971502883,33.2019926735,21.6498401865,0.0,11.552152487
 01/02  19:00:00,79.3544035321,5.37558939791,0.437965578311,1.13097680792,27.5259009287,37.3340067412,37.1026828586,25.4743981986,0.0,11.6282846601
 01/02  20:00:00,81.749148888,5.40584718805,0.735932070244,0.872633202608,33.8341110165,33.3544677425,38.061680347,26.4788703368,0.0,11.5828100102
 01/02  21:00:00,90.7749209548,5.51831583719,1.61480241381,0.752911385616,36.5179666069,38.8247702939,43.560448744,31.98032489,0.0,11.580123854
 01/02  22:00:00,85.5660504263,5.55670283803,1.83987479096,0.79496373682,32.965339924,36.8579353714,52.6815420199,35.2266209267,0.0,17.4549210933
 01/02  23:00:00,61.3066645744,5.38190166942,0.340072665466,1.75782525214,25.6355707503,20.6438685092,51.5448148818,39.9465357752,0.0,11.5982791067
 01/02  24:00:00,45.7341422097,5.48416218023,0.0542577263188,5.92247783478,15.0252895274,11.7056064465,56.954459451,46.454433337,0.0,10.500026114
 01/03  01:00:00,43.2758664548,5.56600975789,0.0404075556609,8.42210707758,11.6412384099,10.0650221343,57.717382618,50.9116248974,0.0,6.80575772062
 01/03  02:00:00,43.7094212098,5.62856802373,0.0313640622955,10.3630017018,10.0992000411,10.047477231,54.218446396,54.198446396,0.0,0.02
 01/03  03:00:00,43.9887603665,5.69604904454,0.0222377251286,12.443542341,8.25718729233,10.0299323277,63.2209898595,57.4575429651,0.0,5.76344689431
 01/03  04:00:00,45.7770715903,5.75198512935,0.0146084239174,14.1835466212,8.25718729233,10.0299323277,65.6532512446,59.8899946651,0.0,5.76325657949
 01/03  05:00:00,48.9529859271,5.80074811685,0.00806976400786,15.7104722673,8.25718729233,11.6354268332,67.5160296064,61.7451104498,0.0,5.77091915656
 01/03  06:00:00,57.1689877844,5.81737782659,0.00539172406174,16.3323842484,12.1011305571,15.3678112995,73.1783145152,61.6121964863,0.0,11.5661180289
 01/03  07:00:00,82.3067107829,5.66428841016,0.0353435954409,12.0641777158,19.7275818095,37.2640762949,72.7865020123,61.1428760926,0.0,11.6436259197
 01/03  08:00:00,96.4205120099,5.58223828095,0.146681369963,9.42793798092,24.3117294858,51.2795993405,83.1417024865,59.7486733026,0.0,23.3930291839
 01/03  09:00:00,84.128876459,5.72602641883,0.0927998354104,13.9742664798,23.6694662846,40.6342015617,85.9314243197,50.4227000277,0.0,35.508724292
 01/03  10:00:00,79.3412859678,5.67860548072,1.64489954029,12.689791372,23.6694662846,35.6302164847,94.6137026938,47.1186992436,18.025,29.4700034502
 01/03  11:00:00,62.5190930226,5.69843118874,1.8355907093,13.2540897956,18.7433767983,22.9618409725,92.4945194071,45.0737017694,18.025,29.3958176377
 01/03  12:00:00,61.4232808696,5.66833085008,1.94461727863,12.0818905642,18.7433767983,22.9618409725,90.3255084538,42.9864964767,18.025,29.3140119771
 01/03  13:00:00,59.5843779262,5.62379948026,1.96162521192,10.2270644448,18.5889407304,23.1597249699,79.7432240257,38.2729292981,18.025,23.4452947277
 01/03  14:00:00,58.6134477781,5.5985731924,2.1546799126,8.84180403123,18.7433767983,23.2517909448,76.9880387322,35.5142013238,18.025,23.4488374084
 01/03  15:00:00,57.9355928234,5.5797588927,2.1667424955,8.17069678041,18.7433767983,23.2517909448,76.3360381065,34.8559597495,18.025,23.455078357
 01/03  16:00:00,57.5260977139,5.56890644348,2.05288689125,8.17586380909,18.7433767983,22.9618409725,84.3294586544,36.9984001657,18.025,29.3060584887
 01/03  17:00:00,65.8313445533,5.58878622401,1.04287815538,9.25190187892,18.7433767983,27.431320555,63.3885017285,39.5929007908,18.025,5.77060093775
 01/03  18:00:00,79.6090335485,5.55885205877,0.183085039992,7.96277569879,17.6635504202,40.6971502883,48.2308596484,42.4450905513,0.0,5.78576909711
 01/03  19:00:00,85.3478743855,5.54551508446,0.312554758981,7.07992242302,27.5259009287,37.3340067412,65.3489233373,47.9168545503,0.0,17.432068787
 01/03  20:00:00,87.4321168222,5.54969485601,0.494019956489,6.65366103292,33.8341110165,33.3544677425,61.8758988866,50.2934148822,0.0,11.5824840044
 01/03  21:00:00,94.8203021548,5.57514749409,1.05697251388,5.29928244354,36.5179666069,38.8247702939,64.9968359742,53.4147135516,0.0,11.5821224225
 01/03  22:00:00,89.3270681223,5.5837970037,1.15109741874,5.21765310888,32.965339924,36.8579353714,72.1296325522,54.6725522517,0.0,17.4570803006
 01/03  23:00:00,69.1975545617,5.59560842042,0.169603331266,9.60547110847,25.6355707503,20.6438685092,68.8416133233,57.2432710881,0.0,11.5983422352
 01/03  24:00:00,53.8920563661,5.7196147595,0.0261625755801,13.8730322839,15.0252895274,11.7056064465,66.0969719579,60.3183651146,0.0,5.77860684333
 01/04  01:00:00,51.2241362838,5.79388092125,0.016576895662,16.1663333147,11.6412384099,10.0650221343,68.5345857761,62.7635640201,0.0,5.77102175596
 01/04  02:00:00,51.3376639703,5.84729767413,0.00930062963211,17.7945740226,10.0992000411,10.047477231,69.9809386857,64.2177267801,0.0,5.7632119056
 01/04  03:00:00,51.1113165967,5.89918540617,0.00162400015557,19.383573235,8.25718729233,10.0299323277,71.4118165852,65.6483249235,0.0,5.76349166164
 01/04  04:00:00,52.6429214508,5.94783660577,0.0,20.8681522805,8.25718729233,10.0299323277,73.3161936305,67.5533322552,0.0,5.7628613753
 01/04  05:00:00,55.8978449121,6.00030150909,0.0,22.4638446505,8.25718729233,11.6354268332,76.0567948477,70.2865700835,0.0,5.77022476419
 01/04  06:00:00,64.2569877876,6.02083016578,0.0,23.2223186767,12.1011305571,15.3678112995,77.0493453072,71.2552050827,0.0,5.79414022449
 01/04  07:00:00,88.3288157306,5.82395307486,0.0127379129313,17.9492135974,19.7275818095,37.2640762949,87.7869292872,70.331464611,0.0,17.4554646763
 01/04  08:00:00,101.701139709,5.70910147089,0.0508473439412,14.6775216502,24.3117294858,51.2795993405,91.7146221446,68.3205628121,0.0,23.3940593325
 01/04  09:00:00,90.0463300782,5.88617148036,0.0415078704231,19.7828562093,23.6694662846,40.6342015617,93.9159784713,58.4048100739,0.0,35.5111683974
 01/04  10:00:00,86.6779448888,5.89814330742,1.38418380323,20.0676251126,23.6694662846,35.6302164847,103.613508976,56.1165050631,18.025,29.472003913
 01/04  11:00:00,71.401021969,5.9770604809,1.60013805832,22.0928355656,18.7433767983,22.9618409725,102.806504555,55.3842982444,18.025,29.397206311
 01/04  12:00:00,70.957722413,5.96523950805,1.6467516129,21.6172865699,18.7433767983,22.9618409725,95.8933569165,54.4125151095,18.025,23.455841807
 01/04  13:00:00,69.9707035849,5.93977947816,1.50033209087,20.7586971389,18.5889407304,23.1597249699,99.7066152619,52.3678236446,18.025,29.3137916173
 01/04  14:00:00,68.9190783676,5.89845846781,1.54617087432,19.4560568471,18.7433767983,23.2517909448,92.2371219825,50.7667783866,18.025,23.4453435959
 01/04  15:00:00,67.4030042036,5.84830016545,1.57761706105,17.9586920385,18.7433767983,23.2517909448,90.9278214888,49.4510657925,18.025,23.4517556962
 01/04  16:00:00,67.5841924995,5.8682658987,1.59275188989,18.3947264953,18.7433767983,22.9618409725,98.6080894378,51.2699869744,18.025,29.3131024634
 01/04  17:00:00,74.8057653482,5.86548409332,0.733117883913,18.2593855066,18.7433767983,27.431320555,75.329560383,51.5340638594,18.025,5.77049652365
 01/04  18:00:00,87.4459806319,5.77378373217,0.00845534139362,15.7594179211,17.6635504202,40.6971502883,59.6589196787,53.8726579787,0.0,5.78626169998
 01/04  19:00:00,92.4687496693,5.71994200111,0.0260985668579,14.3128194369,27.5259009287,37.3340067412,76.9049653609,59.4717288067,0.0,17.4332365543
 01/04  20:00:00,93.9273583746,5.6856055682,0.0381086862423,13.4688987182,33.8341110165,33.3544677425,72.9843823333,61.4034993157,0.0,11.5808830177
 01/04  21:00:00,100.373776784,5.62403752669,0.0652772936047,11.7955549439,36.5179666069,38.8247702939,76.0761623526,64.4940912651,0.0,11.5820710874
 01/04  22:00:00,94.5933618783,5.61751243751,0.129688500303,11.471630387,32.965339924,36.8579353714,83.200356864,65.7439997049,0.0,17.4563571591
 01/04  23:00:00,75.5606083253,5.76141806316,0.0313346500847,15.9409751187,25.6355707503,20.6438685092,78.9073982038,67.3095392506,0.0,11.5978589531
 01/04  24:00:00,61.1210461067,5.93286912579,0.00555007383848,20.9093759786,15.0252895274,11.7056064465,75.7101915251,69.9314979766,0.0,5.77869354846
 01/05  01:00:00,58.7155590488,6.02048244712,0.0,23.4477282191,11.6412384099,10.0650221343,77.524668863,71.7538055165,0.0,5.77086334658
 01/05  02:00:00,59.4214810923,6.09514673421,0.0,25.6398402032,10.0992000411,10.047477231,80.3196907685,74.5563382004,0.0,5.76335256802
 01/05  03:00:00,60.3499930463,6.18330835874,0.0,28.3397491119,8.25718729233,10.0299323277,84.6853734392,78.9217313072,0.0,5.76364213196
 01/05  04:00:00,63.1444853612,6.26970180421,0.0,31.04784921,8.25718729233,10.0299323277,83.6952163123,83.6752163123,0.0,0.02
 01/05  05:00:00,66.5825469734,6.32822929098,0.0,32.8206154608,8.25718729233,11.6354268332,91.5787282674,85.8086360342,0.0,5.77009223322
 01/05  06:00:00,74.8248462951,6.34445184237,0.0,33.4665484546,12.1011305571,15.3678112995,97.501854754,85.9333113024,0.0,11.5685434516
 01/05  07:00:00,97.6166085396,6.0910212653,0.0,26.9826645827,19.7275818095,37.2640762949,102.261794157,84.8066760817,0.0,17.4551180756
 01/05  08:00:00,110.407303027,5.94693390985,0.00800279618273,23.1886856954,24.3117294858,51.2795993405,105.67160184,82.2757416492,0.0,23.3958601905
 01/05  09:00:00,99.7411497711,6.17127824651,0.0,29.2340702145,23.6694662846,40.6342015617,106.66683849,71.1522404406,0.0,35.5145980498
 01/05  10:00:00,93.668681704,6.10045353262,1.07036135927,27.1698662482,23.6694662846,35.6302164847,114.068383699,66.5691479975,18.025,29.4742357019
 01/05  11:00:00,77.3973163444,6.14843646521,1.30162851302,28.2162582719,18.7433767983,22.9618409725,112.705194185,65.2833513452,18.025,29.39684284
 01/05  12:00:00,76.0680790564,6.1110287185,1.34058184174,26.8880206019,18.7433767983,22.9618409725,105.615687644,64.1349340366,18.025,23.4557536072
 01/05  13:00:00,74.0153624702,6.0523601215,1.21451070978,24.9765935799,18.5889407304,23.1597249699,108.859992774,61.5174335294,18.025,29.3175592444
 01/05  14:00:00,73.0051983974,6.01680312868,1.24004498183,23.7299542458,18.7433767983,23.2517909448,101.970560206,60.5013676447,18.025,23.4441925614
 01/05  15:00:00,72.7250780778,6.01560729729,1.25528864246,23.4357853534,18.7433767983,23.2517909448,101.722604604,60.2468787359,18.025,23.450725868
 01/05  16:00:00,72.847087745,6.03501849161,1.25510190557,23.8285160165,18.7433767983,22.9618409725,106.900015637,62.4682505661,18.025,26.4067650713
 01/05  17:00:00,81.6934844293,6.08703874448,0.33769386537,25.3209695219,18.7433767983,27.431320555,91.3223711365,64.6720660969,18.025,8.62530503964
 01/05  18:00:00,94.7575755626,5.98241786348,0.0,22.8708274969,17.6635504202,40.6971502883,75.4936138635,69.7073481011,0.0,5.78626576248
 01/05  19:00:00,99.7178539117,5.9199734572,0.00016447701584,21.3878173884,27.5259009287,37.3340067412,92.2529017137,74.8193032536,0.0,17.4335984601
 01/05  20:00:00,101.026229146,5.87758840433,0.0,20.4138880492,33.8341110165,33.3544677425,87.2865531206,75.7060241777,0.0,11.5805289429
 01/05  21:00:00,107.001754495,5.79701152975,0.0205519274251,18.2952773681,36.5179666069,38.8247702939,89.1528735198,77.5726023448,0.0,11.580271175
 01/05  22:00:00,101.295536551,5.78662384498,0.0376219347555,18.0967509311,32.965339924,36.8579353714,95.8102266007,78.3540532969,0.0,17.4561733038
 01/05  23:00:00,83.5112791263,5.979213937,1.37732565702e-05,23.7051636711,25.6355707503,20.6438685092,91.6499248336,80.051408532,0.0,11.5985163016
 01/05  24:00:00,69.6454026887,6.18064016939,0.0,29.1915074167,15.0252895274,11.7056064465,86.9463500942,81.1675511801,0.0,5.77879891413
 01/06  01:00:00,67.2529034222,6.27376491947,0.0,31.731786838,11.6412384099,10.0650221343,88.0283415113,82.2570199176,0.0,5.77132159368
 01/06  02:00:00,67.3515428374,6.33410200322,0.0,33.3309444168,10.0992000411,10.047477231,88.7283890046,82.9647396494,0.0,5.76364935521
 01/06  03:00:00,66.6696597883,6.3802963835,0.0,34.4624258831,8.25718729233,10.0299323277,88.3805755883,82.6170775472,0.0,5.76349804108
 01/06  04:00:00,67.1889587712,6.4024973975,0.0,34.9595244505,8.25718729233,10.0299323277,82.1322961443,82.1122961443,0.0,0.02
 01/06  05:00:00,69.3412105744,6.42391614438,0.0,35.4835889386,8.25718729233,11.6354268332,87.9553275068,82.1841960643,0.0,5.77113144246
 01/06  06:00:00,76.238747918,6.39761762461,0.0,34.8272785695,12.1011305571,15.3678112995,92.7271216209,81.1586840439,0.0,11.5684375769
 01/06  07:00:00,97.0470998498,6.07551449736,0.0,26.4286527827,19.7275818095,37.2640762949,95.8885221599,78.4327475502,0.0,17.4557746097
 01/06  08:00:00,108.547134539,5.89453835117,0.0,21.3889031754,24.3117294858,51.2795993405,97.3577035468,73.9612079445,0.0,23.3964956023
 01/06  09:00:00,96.6107834274,6.081092939,0.0310416762824,26.1628389036,23.6694662846,40.6342015617,97.904655834,62.3882898488,0.0,35.5163659852
 01/06  10:00:00,90.4937414513,6.0060941713,1.30294114666,23.8566992077,23.6694662846,35.6302164847,105.508612813,58.0079475416,18.025,29.4756652714
 01/06  11:00:00,74.3789973537,6.06955573324,1.55537255288,25.0230712755,18.7433767983,22.9618409725,103.304406797,55.8816242856,18.025,29.3977825118
 01/06  12:00:00,74.3222803459,6.08069146847,1.62178989949,24.8913479928,18.7433767983,22.9618409725,96.3704877715,54.8885724206,18.025,23.4569153509
 01/06  13:00:00,70.8745829605,5.97266309302,1.52055773201,21.6094608243,18.5889407304,23.1597249699,97.760004834,50.415822193,18.025,29.319182641
 01/06  14:00:00,70.8903029323,5.97327333669,1.56795870901,21.3306720483,18.7433767983,23.2517909448,90.9809475949,49.5103302208,18.025,23.4456173741
 01/06  15:00:00,70.4209155129,5.96211735126,1.60152626545,20.8388716043,18.7433767983,23.2517909448,90.3283454607,48.8510479298,18.025,23.4522975309
 01/06  16:00:00,68.9475478735,5.9232325457,1.62860722108,19.6672535394,18.7433767983,22.9618409725,96.6393158912,49.295016087,18.025,29.3192998043
 01/06  17:00:00,76.3697301603,5.92545821478,0.757904743177,19.738582425,18.7433767983,27.431320555,74.0104409621,50.21448672,18.025,5.77095424213
 01/06  18:00:00,88.6911200069,5.81675193123,0.0,16.9700339315,17.6635504202,40.6971502883,58.7846317137,52.9984543632,0.0,5.78617735054
 01/06  19:00:00,93.1311162986,5.74236702817,0.000177101176735,14.9786648643,27.5259009287,37.3340067412,75.109529148,57.6756099257,0.0,17.4339192222
 01/06  20:00:00,94.0370499259,5.69068895977,0.00338494071279,13.6082175143,33.8341110165,33.3544677425,69.9475141496,58.3662906458,0.0,11.5812235038
 01/06  21:00:00,100.083014401,5.61658799459,0.0358781733274,11.5416285987,36.5179666069,38.8247702939,72.4189686675,60.8379637253,0.0,11.5810049422
 01/06  22:00:00,94.2275743257,5.60109636405,0.0447808665529,11.2071471132,32.965339924,36.8579353714,80.0379157423,62.5803553915,0.0,17.4575603507
 01/06  23:00:00,75.3726976567,5.75597780223,0.0106483834196,15.779176479,25.6355707503,20.6438685092,76.1185408552,64.5205127997,0.0,11.5980280555
 01/06  24:00:00,60.8580635026,5.93092186254,0.0,20.6538827177,15.0252895274,11.7056064465,72.1494019102,66.370465792,0.0,5.7789361182
 01/07  01:00:00,59.4508859813,6.01220397183,0.0,22.9914298447,12.8411359301,10.0650221343,74.1892216333,68.4181318329,0.0,5.77108980039
 01/07  02:00:00,60.6644411562,6.05238902529,0.0,24.1660724687,12.8411359301,10.0650221343,75.6828399603,69.9192751083,0.0,5.76356485202
 01/07  03:00:00,58.1182400548,6.12359871198,0.0,26.167700848,8.25718729233,10.0299323277,77.3785216571,71.6150988094,0.0,5.76342284765
 01/07  04:00:00,59.4229634007,6.16709332253,0.0,27.4289309369,8.25718729233,10.0299323277,72.8426413863,72.8226413863,0.0,0.02
 01/07  05:00:00,61.9085904185,6.19704715682,0.0,28.2778347848,8.25718729233,11.6354268332,79.0625553608,73.2911460864,0.0,5.77140927448
 01/07  06:00:00,66.6784035326,6.21731740841,0.0,28.8689159777,8.71707943955,15.3327214929,84.2333055859,72.6957920346,0.0,11.5375135513
 01/07  07:00:00,84.1612552828,6.11866950064,0.0,26.3540893336,18.5082010057,25.6353820695,76.9433771767,71.1507973989,0.0,5.79257977775
 01/07  08:00:00,94.2452808983,5.95710771037,0.0,22.1475514903,19.4083231844,41.0650158608,87.167349169,69.7099721131,0.0,17.4573770559
 01/07  09:00:00,106.600469607,5.75258485215,0.0507785158839,16.4310941303,26.3286599382,57.9988325916,100.378081506,58.6599907556,0.0,41.7180907501
 01/07  10:00:00,92.4466533175,5.74794382381,1.45184545013,16.035608647,26.3286599382,42.8504436482,107.33482024,53.7965527919,18.025,35.5132674486
 01/07  11:00:00,70.4150713522,5.82228114992,1.69195269,17.6840799656,21.7447113004,23.4437158914,105.181374893,51.7841661265,18.025,35.3722087663
 01/07  12:00:00,65.8185251205,5.76056403919,1.78806160703,15.5151949851,19.3027497915,23.426170988,89.6596321464,48.1135047418,18.025,23.5211274045
 01/07  13:00:00,63.2531835777,5.68441530533,1.71595837078,12.9562471815,19.1483137236,23.7250123474,92.0236695137,44.6900366884,18.025,29.3086328253
 01/07  14:00:00,61.1564893486,5.61924386364,1.84190797977,10.6532318606,19.3027497915,23.7161209604,81.3649251251,39.8881256722,18.025,23.4517994529
 01/07  15:00:00,59.6257710535,5.57570698524,1.91049081314,9.09746303714,19.3027497915,23.7161209604,79.3292642235,37.8456631178,18.025,23.4586011057
 01/07  16:00:00,58.6220445965,5.55637040984,1.91729162828,8.3962265044,19.3027497915,23.426170988,86.0413339345,38.70523998,18.025,29.3110939545
 01/07  17:00:00,67.0405851835,5.59068162819,1.00087812014,9.47753084545,19.3027497915,27.8956505705,64.6491715881,40.8531130752,18.025,5.77105851286
 01/07  18:00:00,77.5600725124,5.55684443577,0.0196214436925,8.62148198953,18.2229234133,37.5968344597,48.8250454245,43.0471075375,0.0,5.77793788702
 01/07  19:00:00,89.4716264063,5.49880273464,0.150483245605,6.5067698962,32.690315043,37.0816133363,59.5297761339,47.9770653834,0.0,11.5527107505
 01/07  20:00:00,88.5031957687,5.48408657663,0.397234615544,5.19433017626,36.8143715336,33.066984531,60.0216554024,48.4414513198,0.0,11.5802040825
 01/07  21:00:00,93.5308984487,5.52051893174,0.868128698627,4.47462446966,36.3493007332,38.7721355839,61.7521058104,50.172063182,0.0,11.5800426284
 01/07  22:00:00,91.5966433756,5.52308443832,0.850764978572,4.67303562348,36.1807251679,36.8228455648,62.9479911064,51.3657053131,0.0,11.5822857933
 01/07  23:00:00,73.2328129039,5.54376402935,0.112473271322,8.34631543266,31.0351095914,20.6438685092,66.0554959788,54.4091687382,0.0,11.6463272406
 01/07  24:00:00,55.3876319618,5.6890452652,0.00889548156917,13.014085971,17.4250845679,11.7056064465,69.4732734618,57.9046198296,0.0,11.5686536321
 01/08  01:00:00,51.3532931002,5.75635450484,0.00123405276669,15.0290266785,12.925468867,10.100111941,65.2971681244,59.5259725977,0.0,5.77119552662
 01/08  02:00:00,53.100313773,5.81148232246,0.0,16.723426877,12.925468867,10.100111941,67.5972721278,61.8334644141,0.0,5.76380771368
 01/08  03:00:00,50.6019860778,5.88326044187,0.0,18.7723595649,8.34152022915,10.0650221343,69.1755738991,63.4118998612,0.0,5.76367403787
 01/08  04:00:00,52.0128222236,5.92971341359,0.0,20.1367440604,8.34152022915,10.0650221343,70.5663615514,64.8032858201,0.0,5.76307573133
 01/08  05:00:00,54.3748002389,5.95536083789,0.0,20.8663053682,8.34152022915,11.6705166398,70.9621670544,65.1916269595,0.0,5.77054009497
 01/08  06:00:00,59.1146751054,5.97530363108,0.0,21.427775769,8.80141237637,15.3678112995,69.9750384141,64.1961221121,0.0,5.77891630197
 01/08  07:00:00,76.8065679386,5.89330158525,0.0,19.2247642115,18.5082010057,25.6353820695,73.7615482075,62.1937620984,0.0,11.5677861092
 01/08  08:00:00,87.0268455909,5.74091444266,0.0,15.0258767812,19.4926561212,41.1001056674,70.8859636698,58.8229981581,0.0,12.0629655118
 01/08  09:00:00,100.753993624,5.59541314535,0.143291124323,10.6492656626,26.3286599382,57.9988325916,96.6916309692,49.4416061042,0.0,47.250024865
 01/08  10:00:00,88.638333104,5.64973508516,1.69115544195,12.2056011344,26.2443270014,42.8153538416,100.438169968,46.8986606125,18.025,35.5145093552
 01/08  11:00:00,68.6736984462,5.78371370142,1.8774571024,15.7957637428,21.7447113004,23.4437158914,94.3068075591,46.8021768959,18.025,29.4796306632
