Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,923.4578052,96.8825103573,545.29363273,0.0,34.9616554283,113.312780494,597.963025898,583.578095255,5.66466996096,8.72026068217
 01/01  02:00:00,947.585409148,96.8825103573,572.413499058,0.0,34.9616554283,113.312780494,604.593791004,581.508544384,5.66466996096,17.4205766592
 01/01  03:00:00,957.660716743,96.8825103573,582.525592804,0.0,34.9616554283,113.312780494,608.89161308,585.80757327,5.66466996096,17.4193698492
 01/01  04:00:00,960.497236311,96.8825103573,585.427655642,0.0,34.9616554283,113.312780494,603.963604028,589.577779147,5.66466996096,8.72115492023
 01/01  05:00:00,971.884672672,96.8825103573,586.573444239,0.0,44.4937663224,113.312780494,603.982675466,580.898908916,5.66466996096,17.4190965883
 01/01  06:00:00,972.333318051,96.8825103573,587.064951851,0.0,44.4937663224,113.312780494,612.91107753,581.328495568,14.1616749024,17.4209070597
 01/01  07:00:00,1045.7684432,96.8825103573,587.420050922,0.0,54.0258772165,176.889270242,550.090743567,513.048489367,28.3233498048,8.71890439526
 01/01  08:00:00,1049.36374545,96.8825103573,587.533898277,0.0,54.0258772165,184.38654557,564.086520264,504.180891726,42.4850247072,17.4206038304
 01/01  09:00:00,1118.83758598,96.8825103573,588.827402403,0.0,65.1572554096,220.04316451,553.511233125,479.365168699,56.6466996096,17.4993648164
 01/01  10:00:00,1115.43854874,96.8825103573,592.360093871,0.0,65.1572554096,212.545889182,537.247612339,468.398093905,42.4850247072,26.3644937266
 01/01  11:00:00,1127.68815953,96.8825103573,596.501769036,0.0,65.1572554096,220.04316451,558.646319673,461.356433261,70.808374512,26.4815118998
 01/01  12:00:00,1129.53834636,96.8825103573,596.264435488,0.0,65.1572554096,220.04316451,556.95647047,450.839223858,70.808374512,35.3088721
 01/01  13:00:00,1122.15294732,96.8825103573,589.276753884,0.0,65.1572554096,220.04316451,544.630926227,447.336363272,70.808374512,26.4861884432
 01/01  14:00:00,1121.37856519,96.8825103573,596.135756181,0.0,65.1572554096,212.545889182,529.307211263,446.179565141,56.6466996096,26.4809465117
 01/01  15:00:00,1126.00131908,96.8825103573,601.006462527,0.0,65.1572554096,212.545889182,521.90769475,444.11470162,42.4850247072,35.3079684224
 01/01  16:00:00,1121.10494566,96.8825103573,598.323192024,0.0,65.1572554096,212.545889182,532.301733051,449.169541621,56.6466996096,26.4854918209
 01/01  17:00:00,1073.9940782,96.8825103573,578.378070779,0.0,65.1572554096,220.04316451,567.679312178,456.228847861,84.9700494144,26.4804149025
 01/01  18:00:00,1020.37790485,96.8825103573,564.126645268,0.0,54.0258772165,184.38654557,591.221500644,479.890985079,84.9700494144,26.3604661506
 01/01  19:00:00,992.032988371,96.8825103573,556.733058318,0.0,44.4937663224,163.454314868,619.841055958,517.45041557,84.9700494144,17.4205909733
 01/01  20:00:00,982.802021927,96.8825103573,553.304421989,0.0,44.4937663224,155.95703954,597.177391839,523.111279629,56.6466996096,17.4194126011
 01/01  21:00:00,951.27269923,96.8825103573,550.791035093,0.0,44.4937663224,124.558693486,625.981266571,560.613384656,56.6466996096,8.72118230496
 01/01  22:00:00,949.9764794,96.8825103573,546.566556457,0.0,44.4937663224,124.558693486,626.712495807,566.808324907,42.4850247072,17.4191461922
 01/01  23:00:00,944.994104481,96.8825103573,541.062127739,0.0,34.9616554283,124.558693486,630.072719654,584.328408999,28.3233498048,17.42096085
 01/01  24:00:00,939.838443147,96.8825103573,530.691141617,0.0,34.9616554283,124.558693486,612.655702823,589.775099105,14.1616749024,8.71892881581
 01/02  01:00:00,912.475225022,96.8825103573,501.903147118,0.0,46.0930336215,113.312780494,615.420641472,592.335125409,5.66466996096,17.4208461022
 01/02  02:00:00,896.204102444,96.8825103573,483.871817254,0.0,46.0930336215,113.312780494,621.128193557,598.043668295,5.66466996096,17.4198553011
 01/02  03:00:00,896.251177033,96.8825103573,480.245215435,0.0,46.0930336215,113.312780494,625.689564306,602.606172707,5.66466996096,17.418721638
 01/02  04:00:00,888.194901471,96.8825103573,466.515590977,0.0,46.0930336215,113.312780494,621.233949074,606.84849291,5.66466996096,8.7207862031
 01/02  05:00:00,962.252743774,96.8825103573,450.633200306,0.0,100.150657288,148.969399434,593.988675349,570.903871132,5.66466996096,17.4201342558
 01/02  06:00:00,1020.26722843,96.8825103573,506.143755941,0.0,100.150657288,149.894399434,1161.51972035,1129.93774529,14.1616749024,17.4203001522
 01/02  07:00:00,1256.11113757,96.8825103573,512.594852778,0.0,176.471037341,302.612436532,764.077220053,727.035811009,28.3233498048,8.71805923841
 01/02  08:00:00,1374.26231194,96.8825103573,512.849430032,0.0,243.2593065,310.10971186,715.742982144,646.880421674,42.4850247072,26.3775357623
 01/02  09:00:00,1400.69083411,96.8825103573,515.113141397,0.0,243.2593065,310.10971186,701.349836037,609.353072989,56.6466996096,35.3500634378
 01/02  10:00:00,1434.07438154,96.8825103573,521.377303302,0.0,243.2593065,302.612436532,660.806477135,582.835794623,42.4850247072,35.4856578042
 01/02  11:00:00,1445.20074514,96.8825103573,530.763164957,0.0,243.2593065,310.10971186,657.412600115,550.893921736,70.808374512,35.710303867
 01/02  12:00:00,1455.17420407,96.8825103573,537.726951267,0.0,243.2593065,310.10971186,637.109498403,521.564220128,70.808374512,44.736903763
 01/02  13:00:00,1432.32912415,96.8879735069,538.549935921,0.0,243.2593065,310.10971186,591.999519465,485.599495014,70.808374512,35.5916499388
 01/02  14:00:00,1471.65241185,96.9808358594,537.363590499,0.0,243.2593065,302.612436532,567.230871735,465.853300239,56.6466996096,44.7308718863
 01/02  15:00:00,1472.13974803,97.0914536452,538.993110348,0.0,243.2593065,302.612436532,550.428414696,463.296512838,42.4850247072,44.6468771507
 01/02  16:00:00,1471.9041267,97.1923994003,538.437030361,0.0,243.2593065,302.612436532,553.719077548,461.434655378,56.6466996096,35.637722561
 01/02  17:00:00,1475.2102038,97.2799662381,538.737995406,0.0,243.2593065,310.10971186,572.990823389,452.578709046,84.9700494144,35.4420649285
 01/02  18:00:00,1480.3451778,97.3619493651,538.664892114,0.0,243.2593065,310.10971186,554.834710051,452.331437119,84.9700494144,17.5332235178
 01/02  19:00:00,1221.47684055,96.8825103573,536.504552785,0.0,166.938926447,199.110933808,514.257970213,411.813223848,84.9700494144,17.4746969509
 01/02  20:00:00,1213.4344093,96.8825103573,534.913161538,0.0,166.938926447,191.61365848,496.087767044,417.167897158,56.6466996096,22.2731702772
 01/02  21:00:00,1079.55668946,96.8825103573,531.958277141,0.0,100.150657288,124.558693486,539.036037107,460.995538294,56.6466996096,21.393799203
 01/02  22:00:00,1041.70295161,96.8825103573,528.071999329,0.0,100.150657288,124.558693486,517.522570121,466.313461465,42.4850247072,8.72408394836
 01/02  23:00:00,974.783635399,96.8825103573,525.024098662,0.0,46.0930336215,124.558693486,530.467635853,484.724996942,28.3233498048,17.4192891064
 01/02  24:00:00,972.980465985,96.8825103573,522.016749839,0.0,46.0930336215,124.558693486,522.503995032,490.921176694,14.1616749024,17.4211434361
 01/03  01:00:00,957.902802607,96.8825103573,519.190470572,0.0,46.0930336215,113.312780494,509.514418522,495.130600151,5.66466996096,8.71914840979
 01/03  02:00:00,954.232831667,96.8825103573,518.522052364,0.0,46.0930336215,113.312780494,521.989849936,498.903932112,5.66466996096,17.421247863
 01/03  03:00:00,947.46255624,96.8825103573,519.428488658,0.0,46.0930336215,113.312780494,527.076787637,503.991919845,5.66466996096,17.4201978305
 01/03  04:00:00,922.242670169,96.8825103573,498.256258848,0.0,46.0930336215,113.312780494,534.188205732,511.104458257,5.66466996096,17.4190775144
 01/03  05:00:00,981.072609407,96.8825103573,466.771589476,0.0,100.150657288,148.969399434,505.189434494,490.803776693,5.66466996096,8.72098783993
 01/03  06:00:00,1017.77724303,96.8825103573,502.627756885,0.0,100.150657288,149.894399434,896.881921016,865.299340975,14.1616749024,17.4209051389
 01/03  07:00:00,1237.49811339,97.0540422118,496.990574488,0.0,176.471037341,302.612436532,626.383390014,580.639288788,28.3233498048,17.4207514215
 01/03  08:00:00,1359.50311828,97.351567841,500.449117082,0.0,243.2593065,310.10971186,603.552780653,534.689313448,42.4850247072,26.3784424977
 01/03  09:00:00,1376.28010457,97.4794263098,481.156734991,0.0,243.2593065,310.10971186,601.281797853,518.111021545,56.6466996096,26.5240766984
 01/03  10:00:00,1386.18947095,97.5778916982,453.926620895,0.0,243.2593065,302.612436532,589.699479217,511.718147839,42.4850247072,35.4963066702
 01/03  11:00:00,1386.36504472,97.6635803414,449.843898086,0.0,243.2593065,310.10971186,611.191624935,495.731448249,70.808374512,44.651802174
 01/03  12:00:00,1396.66544387,97.7651251239,461.059860917,0.0,243.2593065,310.10971186,589.312189571,482.716147799,70.808374512,35.7876672596
 01/03  13:00:00,1369.06574502,97.9870959661,477.771052328,0.0,243.2593065,310.10971186,589.188135016,473.894758398,70.808374512,44.4850021061
 01/03  14:00:00,1419.90766005,98.31768,497.146234231,0.0,243.2593065,302.612436532,564.447120129,468.653151407,56.6466996096,39.1472691126
 01/03  15:00:00,1429.28038232,98.6651945145,509.198633514,0.0,243.2593065,302.612436532,546.323292991,462.549488704,42.4850247072,41.2887795797
 01/03  16:00:00,1430.89043565,98.993871075,512.111282371,0.0,243.2593065,302.612436532,553.339727984,453.945127591,56.6466996096,42.7479007837
 01/03  17:00:00,1439.15873257,99.2957474765,513.280549553,0.0,243.2593065,310.10971186,561.609255137,448.241752034,84.9700494144,28.3974536889
 01/03  18:00:00,1447.8462407,99.5819139615,513.723690377,0.0,243.2593065,310.10971186,560.270386633,449.008493195,84.9700494144,26.2918440241
 01/03  19:00:00,1165.96001347,96.8825103573,490.522207598,0.0,166.938926447,199.110933808,526.195957534,423.753207023,84.9700494144,17.4727010958
 01/03  20:00:00,1135.98126318,96.8825103573,467.953348028,0.0,166.938926447,191.61365848,502.248890769,428.128640904,56.6466996096,17.4735502555
 01/03  21:00:00,999.480238044,96.8825103573,468.520385442,0.0,100.150657288,124.558693486,543.03620027,468.915066304,56.6466996096,17.4744343568
 01/03  22:00:00,979.350634568,96.8825103573,489.744266858,0.0,100.150657288,124.558693486,534.071345266,474.159380612,42.4850247072,17.4269399469
 01/03  23:00:00,927.605452283,96.8825103573,505.913128377,0.0,46.0930336215,124.558693486,530.078080528,493.035649237,28.3233498048,8.71908148701
 01/03  24:00:00,927.152439418,96.8825103573,506.240148484,0.0,46.0930336215,124.558693486,529.158828441,497.576168939,14.1616749024,17.4209845998
 01/04  01:00:00,912.484699281,96.8825103573,504.279306552,0.0,46.0930336215,113.312780494,525.540188266,502.453765681,5.66466996096,17.4217526235
 01/04  02:00:00,906.279871357,96.8825103573,501.841488078,0.0,46.0930336215,113.312780494,531.533215073,508.449398664,5.66466996096,17.4191464473
 01/04  03:00:00,902.378346652,96.8825103573,500.286461141,0.0,46.0930336215,113.312780494,528.733390311,514.347693735,5.66466996096,8.72102661512
 01/04  04:00:00,901.256832539,96.8825103573,499.121643645,0.0,46.0930336215,113.312780494,543.95130504,520.867575885,5.66466996096,17.4190591946
 01/04  05:00:00,993.924852149,96.8825103573,499.998322565,0.0,100.150657288,148.969399434,524.35073342,501.265141493,5.66466996096,17.4209219663
 01/04  06:00:00,1024.17864303,97.0081990995,522.99459031,0.0,100.150657288,149.894399434,847.079282068,824.199177321,14.1616749024,8.71842984488
 01/04  07:00:00,1257.45452848,97.7034937557,523.397092192,0.0,176.471037341,302.612436532,620.92801524,575.183725089,28.3233498048,17.4209403461
 01/04  08:00:00,1383.1653144,98.1683648357,520.692369711,0.0,243.2593065,310.10971186,599.595281629,530.732534712,42.4850247072,26.3777222096
 01/04  09:00:00,1417.815624,98.7656952011,515.784149255,0.0,243.2593065,310.10971186,593.183468168,510.021017132,56.6466996096,26.5157514257
 01/04  10:00:00,1450.12815389,99.2467451715,511.360929822,0.0,243.2593065,302.612436532,562.184294925,484.188600412,42.4850247072,35.5106698059
 01/04  11:00:00,1462.28526205,99.6594813139,510.644493454,0.0,243.2593065,310.10971186,571.370170517,455.919949925,70.808374512,44.6418460803
 01/04  12:00:00,1470.00910362,100.208505883,510.230356908,0.0,243.2593065,310.10971186,551.122745257,435.571766624,70.808374512,44.7426041208
 01/04  13:00:00,1428.68274109,100.717009855,511.859334266,0.0,243.2593065,310.10971186,524.335074571,417.93916057,70.808374512,35.587539489
 01/04  14:00:00,1467.23510816,101.08765078,516.051418071,0.0,243.2593065,302.612436532,512.747024609,411.36080813,56.6466996096,44.73951687
 01/04  15:00:00,1474.70899076,101.461301785,519.077659857,0.0,243.2593065,302.612436532,484.880044728,397.742007395,42.4850247072,44.653012625
 01/04  16:00:00,1479.04971283,101.690384756,518.241163366,0.0,243.2593065,302.612436532,486.256262857,393.973917318,56.6466996096,35.6356459298
 01/04  17:00:00,1486.0149268,101.886944718,514.401959864,0.0,243.2593065,310.10971186,520.035269565,399.625247936,84.9700494144,35.4399722148
 01/04  18:00:00,1491.16008926,102.112043138,510.112866959,0.0,243.2593065,310.10971186,509.629592733,407.123512486,84.9700494144,17.5360308323
 01/04  19:00:00,1223.51541279,96.8825103573,506.448327786,0.0,166.938926447,199.110933808,504.702865202,402.258743797,84.9700494144,17.4740719912
 01/04  20:00:00,1213.47936986,96.8825103573,502.292266056,0.0,166.938926447,191.61365848,484.119568181,409.999821488,56.6466996096,17.4730470833
 01/04  21:00:00,1070.53532435,96.8825103573,485.896155278,0.0,100.150657288,124.558693486,526.706661031,452.585826205,56.6466996096,17.4741352158
 01/04  22:00:00,996.661616136,96.8825103573,450.474362924,0.0,100.150657288,124.558693486,520.900351981,460.987695313,42.4850247072,17.4276319608
 01/04  23:00:00,893.785462965,96.8825103573,418.30746371,0.0,46.0930336215,124.558693486,526.708058012,480.96374681,28.3233498048,17.4209613976
 01/04  24:00:00,870.717550397,96.8825103573,387.818282992,0.0,46.0930336215,124.558693486,519.821875891,488.240355912,14.1616749024,17.419845077
 01/05  01:00:00,827.309847432,96.8825103573,357.504991566,0.0,46.0930336215,113.312780494,509.603748074,495.217548554,5.66466996096,8.72152955926
 01/05  02:00:00,791.123346579,96.8825103573,321.359411567,0.0,46.0930336215,113.312780494,535.904408867,512.819686151,5.66466996096,17.4200527549
 01/05  03:00:00,765.463400146,96.8825103573,292.667739667,0.0,46.0930336215,113.312780494,556.893222307,533.806522491,5.66466996096,17.4220298549
 01/05  04:00:00,749.702882088,96.8825103573,273.658848881,0.0,46.0930336215,113.312780494,568.404599829,554.020403302,5.66466996096,8.71952656608
 01/05  05:00:00,825.876317387,96.8825103573,257.749454075,0.0,100.150657288,148.969399434,570.665239202,547.578597946,5.66466996096,17.4219712944
 01/05  06:00:00,846.429905687,97.294873929,273.651174643,0.0,100.150657288,149.894399434,858.642537205,827.057823812,14.1616749024,17.4230384909
 01/05  07:00:00,1067.82485165,98.1623059901,266.578203417,0.0,176.471037341,302.612436532,640.016733376,594.27346535,28.3233498048,17.4199182216
 01/05  08:00:00,1193.83416062,99.4304004999,267.596760589,0.0,243.2593065,310.10971186,608.176261313,548.097449128,42.4850247072,17.5937874784
 01/05  09:00:00,1231.2641099,100.057489058,273.659430861,0.0,243.2593065,310.10971186,613.033234217,521.025521724,56.6466996096,35.3610128842
 01/05  10:00:00,1282.25698984,100.73899159,288.067472013,0.0,243.2593065,302.612436532,566.45524285,488.473068368,42.4850247072,35.497149775
 01/05  11:00:00,1333.28297256,101.344494991,325.026137375,0.0,243.2593065,310.10971186,568.91771677,457.524215654,70.808374512,40.5851266043
 01/05  12:00:00,1411.3632951,101.82256109,395.866592663,0.0,243.2593065,310.10971186,550.77713114,440.09975639,70.808374512,39.8690002381
 01/05  13:00:00,1450.23883082,102.268439221,471.197502118,0.0,243.2593065,310.10971186,539.403458157,424.099359931,70.808374512,44.4957237135
 01/05  14:00:00,1500.39439293,102.707077102,484.350813034,0.0,243.2593065,302.612436532,506.717076905,414.277667176,56.6466996096,35.7927101199
 01/05  15:00:00,1501.64595716,103.005909867,484.350827847,0.0,243.2593065,302.612436532,486.157361662,399.024138302,42.4850247072,44.6481986527
 01/05  16:00:00,1501.67054241,103.057486607,484.35083215,0.0,243.2593065,302.612436532,491.465293377,394.769863263,56.6466996096,40.0487305041
 01/05  17:00:00,1505.78007687,103.146414541,484.350815775,0.0,243.2593065,310.10971186,511.381571557,395.324502427,84.9700494144,31.087019715
 01/05  18:00:00,1508.79960423,103.241176084,480.874240673,0.0,243.2593065,310.10971186,518.834760564,407.571284974,84.9700494144,26.2934261761
 01/05  19:00:00,1135.33858061,96.8825103573,375.992505132,0.0,166.938926447,199.110933808,512.094760193,409.651037294,84.9700494144,17.473673484
 01/05  20:00:00,1059.94939009,96.8825103573,311.636072292,0.0,166.938926447,191.61365848,499.67327426,425.551971177,56.6466996096,17.4746034736
 01/05  21:00:00,896.744381779,96.8825103573,283.720748778,0.0,100.150657288,124.558693486,558.082731172,483.960461573,56.6466996096,17.4755699894
 01/05  22:00:00,835.611908591,96.8825103573,264.270865715,0.0,100.150657288,124.558693486,566.209251015,506.296237138,42.4850247072,17.4279891703
 01/05  23:00:00,749.858741517,96.8825103573,246.355244531,0.0,46.0930336215,124.558693486,578.152776833,541.109816074,28.3233498048,8.71961095443
 01/05  24:00:00,732.132077479,96.8825103573,229.427843414,0.0,46.0930336215,124.558693486,596.343731901,564.759904866,14.1616749024,17.4221521324
 01/06  01:00:00,716.93729318,96.8825103573,227.008771734,0.0,46.0930336215,113.312780494,590.599728671,567.512080959,5.66466996096,17.4229777515
 01/06  02:00:00,714.924770946,96.8825103573,225.092708743,0.0,46.0930336215,113.312780494,602.53230623,579.447241794,5.66466996096,17.4203944749
 01/06  03:00:00,710.720240053,96.8825103573,221.358789658,0.0,46.0930336215,113.312780494,609.223953723,594.837562332,5.66466996096,8.72172142996
 01/06  04:00:00,708.468714628,96.8825103573,220.818807788,0.0,46.0930336215,113.312780494,626.727657907,603.642575553,5.66466996096,17.4204123937
 01/06  05:00:00,793.460546399,96.8825103573,215.325585861,0.0,100.150657288,148.969399434,619.154523969,596.067448331,5.66466996096,17.4224056768
 01/06  06:00:00,803.028138604,97.3954620481,222.634953904,0.0,100.150657288,149.894399434,889.066451604,866.185040679,14.1616749024,8.71973602319
 01/06  07:00:00,1020.65731185,98.5359828578,212.975610793,0.0,176.471037341,302.612436532,674.998036611,629.252164613,28.3233498048,17.4225221926
 01/06  08:00:00,1150.22352635,99.9016575829,220.398679526,0.0,243.2593065,310.10971186,645.607521794,576.74155737,42.4850247072,26.3809397165
 01/06  09:00:00,1187.63492776,100.590811254,228.373800688,0.0,243.2593065,310.10971186,644.879980263,554.467128248,56.6466996096,33.7661524056
 01/06  10:00:00,1233.29579939,101.109225966,240.399973389,0.0,243.2593065,302.612436532,603.972614396,533.260330716,42.4850247072,28.2272589731
 01/06  11:00:00,1262.80244543,101.492407085,259.64902705,0.0,243.2593065,310.10971186,620.62731588,505.169483255,70.808374512,44.6494581122
 01/06  12:00:00,1293.83051359,101.820260552,287.837341154,0.0,243.2593065,310.10971186,596.01097482,480.459643651,70.808374512,44.742956657
 01/06  13:00:00,1287.87799115,102.092663657,322.397629294,0.0,243.2593065,310.10971186,578.442387442,472.038816047,70.808374512,35.5951968829
 01/06  14:00:00,1353.80902967,102.409012173,355.401492387,0.0,243.2593065,302.612436532,566.412870762,465.01964532,56.6466996096,44.746525832
 01/06  15:00:00,1365.89220394,102.753763189,377.937695576,0.0,243.2593065,302.612436532,538.620610784,451.48065644,42.4850247072,44.6549296371
 01/06  16:00:00,1372.00364067,102.876414554,393.246811941,0.0,243.2593065,302.612436532,544.518021583,452.227197406,56.6466996096,35.6441245678
 01/06  17:00:00,1392.4806616,103.044621702,408.380729646,0.0,243.2593065,310.10971186,567.483164249,447.065055153,84.9700494144,35.4480596813
 01/06  18:00:00,1407.61223355,103.197322207,413.544807875,0.0,243.2593065,310.10971186,549.77752025,447.272180148,84.9700494144,17.5352906872
 01/06  19:00:00,1071.5530815,96.8825103573,339.337960783,0.0,166.938926447,199.110933808,540.111878925,437.66524062,84.9700494144,17.4765888904
 01/06  20:00:00,1019.53066112,96.8825103573,295.930264822,0.0,166.938926447,191.61365848,532.058106258,449.213792403,56.6466996096,26.1976142455
 01/06  21:00:00,887.417389632,96.8825103573,292.519690391,0.0,100.150657288,124.558693486,564.513384724,490.396003253,56.6466996096,17.4706818612
 01/06  22:00:00,858.929771496,96.8825103573,297.803711632,0.0,100.150657288,124.558693486,547.656492661,496.446286054,42.4850247072,8.72518189908
 01/06  23:00:00,794.614469389,96.8825103573,298.42436046,0.0,46.0930336215,124.558693486,565.206402381,519.461608031,28.3233498048,17.4214445455
 01/06  24:00:00,801.730823737,96.8825103573,305.313515018,0.0,46.0930336215,124.558693486,554.875891088,523.29400544,14.1616749024,17.4202107455
 01/07  01:00:00,796.319859102,96.8825103573,313.103285658,0.0,46.0930336215,113.312780494,548.168584354,529.162880471,5.66466996096,13.341033922
