Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,50.1565225681,5.99903067965,0.0183270529452,13.5725357511,12.925468867,10.100111941,50.2112165273,50.1912165273,0.0,0.02
 01/01  02:00:00,50.9500598839,6.02920350964,0.0131080246918,14.3423806117,12.925468867,10.100111941,54.8236208175,49.0604847566,0.0,5.76313606095
 01/01  03:00:00,49.0029377986,6.11683118084,0.00236677515883,16.9374081579,8.34152022915,10.0650221343,59.9603037667,54.1974282955,0.0,5.76287547114
 01/01  04:00:00,50.7809203843,6.17568498472,0.0,18.6589032692,8.34152022915,10.0650221343,63.8438762068,58.0812703236,0.0,5.76260588319
 01/01  05:00:00,53.7991202902,6.22363314562,0.0,20.0223972853,8.34152022915,11.6705166398,66.4340993205,60.664957409,0.0,5.76914191149
 01/01  06:00:00,59.7203685698,6.28164415958,0.0,21.7271852741,8.80141237637,15.3678112995,68.8220383452,63.044021333,0.0,5.77801701218
 01/01  07:00:00,78.7530677596,6.23791899923,0.0,20.8267226414,18.5082010057,25.6353820695,75.6159113773,64.0505241789,0.0,11.5653871984
 01/01  08:00:00,89.7686660238,6.10023647719,0.00623587875049,17.40227248,19.4926561212,41.1001056674,79.8927640497,62.4417156433,0.0,17.4510484064
 01/01  09:00:00,102.991899674,5.99762844682,0.795114808626,11.8333078625,26.3286599382,57.9988325916,87.3135437912,51.5873110074,0.0,35.7262327838
 01/01  10:00:00,87.5306760884,6.0034507134,0.806577757606,11.6289280261,26.2443270014,42.8153538416,99.592279373,46.0804309416,18.025,35.4868484314
 01/01  11:00:00,64.2397107171,6.00411815155,0.410261284016,12.6086541932,21.7447113004,23.4437158914,89.2632216468,41.7764750573,18.025,29.4617465895
