Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,91.3720628232,25.5286704632,13.6054149383,0.294884166013,4.12243109448,15.9888894789,92.4122815005,89.4205510827,2.97173041782,0.02
 01/02  02:00:00,91.88939842,22.089556399,10.4294692945,1.6657186762,4.12243109448,15.9888894789,78.4795987162,75.4878682984,2.97173041782,0.02
 01/02  03:00:00,109.423304302,28.1271019281,13.9510037082,3.7647730123,4.12243109448,15.9888894789,98.534917182,95.5431867641,2.97173041782,0.02
 01/02  04:00:00,98.7315558607,23.6350256869,12.0896264177,6.63733854589,4.12243109448,15.9888894789,78.4983441507,75.5066137329,2.97173041782,0.02
 01/02  05:00:00,136.821130881,32.8767563839,18.8577561077,2.23209119252,12.3672932834,24.9413748627,110.792136712,105.819252682,4.9528840297,0.02
 01/02  06:00:00,163.217656364,33.7156631258,20.4824291353,23.5487867504,12.3672932834,24.9413748627,172.841381585,167.868497556,4.9528840297,0.02
 01/02  07:00:00,220.777999208,34.8575632035,20.5169108359,22.760789457,24.7345865669,70.7195625826,138.730639778,128.804871719,9.90576805939,0.02
 01/02  08:00:00,236.467937101,35.0505450784,21.3783440692,15.6312449794,37.1018798503,92.3937384068,118.927947908,109.002179849,9.90576805939,0.02
 01/02  09:00:00,243.146313115,35.1480971289,22.2388973278,12.754179893,37.1018798503,104.434947198,112.684371615,102.758603556,9.90576805939,0.02
 01/02  10:00:00,236.553697847,35.2059233938,21.7192095214,11.1678349704,37.1018798503,116.476155989,119.371114169,100.835265801,9.90576805939,8.63008030844
 01/02  11:00:00,223.649333053,35.2369711692,21.3561943527,10.2802899683,37.1018798503,116.476155989,109.976786658,100.051018599,9.90576805939,0.02
 01/02  12:00:00,220.708824098,35.2695278313,21.9744811022,9.25775499227,37.1018798503,116.476155989,116.995587302,98.4529238818,9.90576805939,8.63689536078
 01/02  13:00:00,208.952362235,35.3107879928,23.0974685211,8.13587578532,37.1018798503,104.434947198,106.749252879,96.8234848198,9.90576805939,0.02
 01/02  14:00:00,220.969873882,35.3777185972,24.317419103,7.06767515374,37.1018798503,116.476155989,113.357496696,94.8148469626,9.90576805939,8.63688167414
 01/02  15:00:00,220.288516303,35.4189443116,24.1671852091,6.49557720896,37.1018798503,116.476155989,103.676780159,93.7510121,9.90576805939,0.02
 01/02  16:00:00,219.280397576,35.4495697756,23.4626725653,6.16152695978,37.1018798503,116.476155989,111.588374563,93.0491704254,9.90576805939,8.63343607805
 01/02  17:00:00,218.898288827,35.4651572856,22.9849206773,6.0814252734,37.1018798503,116.476155989,102.604199246,92.6784311869,9.90576805939,0.02
 01/02  18:00:00,232.476109334,35.4721590555,22.5681758896,6.13593253112,37.1018798503,116.476155989,102.40033455,92.4745664908,9.90576805939,0.02
 01/02  19:00:00,139.643777284,33.0914048961,19.518290789,8.89867402326e-05,24.7345865669,47.5788473902,88.3304763326,74.7683774794,4.9528840297,8.60921482351
 01/02  20:00:00,140.119509849,33.9929286474,19.0811751292,0.0114305026485,24.7345865669,47.5788473902,84.0701877523,79.0973037226,4.9528840297,0.02
 01/02  21:00:00,116.95612902,31.5888653107,18.9559005801,0.0,12.3672932834,38.6892022431,96.8906374034,93.8989069856,2.97173041782,0.02
 01/02  22:00:00,99.3834198455,25.7635993594,15.5514497065,0.442572624476,12.3672932834,27.0668015668,83.7407084897,80.7489780718,2.97173041782,0.02
 01/02  23:00:00,71.6521924858,21.0592435404,13.2728434826,0.0,4.12243109448,15.9888894789,75.7433730471,72.7516426293,2.97173041782,0.02
 01/02  24:00:00,85.3255068873,27.6119454988,16.874788711,1.233118212,4.12243109448,15.9888894789,97.0296661878,94.03793577,2.97173041782,0.02
 01/03  01:00:00,75.384863166,21.4713686839,12.7595909905,0.513407623293,4.12243109448,15.9888894789,78.9356550069,75.9439245891,2.97173041782,0.02
 01/03  02:00:00,88.6914440256,27.3543672841,14.9642945656,1.61023926209,4.12243109448,15.9888894789,98.9806011632,95.9888707454,2.97173041782,0.02
 01/03  03:00:00,80.401466131,22.5016815425,11.1654517248,3.13538977514,4.12243109448,15.9888894789,80.6253757921,77.6336453743,2.97173041782,0.02
 01/03  04:00:00,96.6215599894,28.899836572,13.5327780515,7.18031880814,4.12243109448,15.9888894789,101.136893359,98.1451629408,2.97173041782,0.02
 01/03  05:00:00,120.294576788,33.6494910278,13.9910634881,4.91403469111,12.3672932834,24.9413748627,111.783506237,106.810622207,4.9528840297,0.02
 01/03  06:00:00,149.461341712,34.2258113909,17.2138446535,32.0060532244,12.3672932834,24.9413748627,175.747199338,170.774315308,4.9528840297,0.02
 01/03  07:00:00,198.916405293,34.8344208445,19.0217782232,24.8840245359,24.7345865669,70.7195625826,142.706669181,132.780901121,9.90576805939,0.02
 01/03  08:00:00,212.881759014,34.9868907677,18.2895281415,17.7499676665,37.1018798503,92.3937384068,122.818904463,112.893136403,9.90576805939,0.02
 01/03  09:00:00,213.348938969,35.109327427,18.7631288902,12.5396249425,37.1018798503,104.434947198,123.265886328,104.733477343,9.90576805939,8.62664092553
 01/03  10:00:00,220.701024194,35.1977357134,21.4234641005,9.69262469551,37.1018798503,116.476155989,110.127342232,100.201574173,9.90576805939,0.02
 01/03  11:00:00,219.076337855,35.3515633743,21.4683664012,7.65488810993,37.1018798503,116.476155989,113.495798783,94.9547566039,9.90576805939,8.63527411998
 01/03  12:00:00,218.768448119,35.5420694076,23.0499967343,5.9670694562,37.1018798503,116.476155989,101.070013491,91.1442454317,9.90576805939,0.02
 01/03  13:00:00,208.042415977,35.5150444106,25.5161646714,4.64045352347,37.1018798503,104.434947198,109.088741457,90.5509652191,9.90576805939,8.63200817867
 01/03  14:00:00,219.091129301,35.5568404562,25.4192871489,3.90797583353,37.1018798503,116.476155989,99.9989091731,90.0731411137,9.90576805939,0.02
 01/03  15:00:00,218.214461707,35.7475533517,25.073423404,3.18663941558,37.1018798503,116.476155989,106.657602606,88.1165829445,9.90576805939,8.63525160227
 01/03  16:00:00,217.672415354,36.0099672608,25.069069649,2.38678260718,37.1018798503,116.476155989,95.0842111508,85.1584430914,9.90576805939,0.02
 01/03  17:00:00,217.306567271,35.9623336705,25.0043122947,2.13387806193,37.1018798503,116.476155989,103.239260121,84.7065442761,9.90576805939,8.62694778575
 01/03  18:00:00,230.882888281,35.7129289919,24.5232583663,2.34689543058,37.1018798503,116.476155989,96.9786058321,87.0528377727,9.90576805939,0.02
 01/03  19:00:00,140.380513838,33.0914048961,20.2551325067,0.0,24.7345865669,47.5788473902,75.902546304,70.9296622743,4.9528840297,0.02
 01/03  20:00:00,141.010992409,33.9929286474,19.9840821299,0.0,24.7345865669,47.5788473902,81.2733633485,76.3004793188,4.9528840297,0.02
 01/03  21:00:00,117.900358701,31.5888653107,20.5344445724,0.0,12.3672932834,38.6892022431,94.6677164284,91.6759860105,2.97173041782,0.02
 01/03  22:00:00,98.2112426295,25.7635993594,16.6850894068,0.0456849292331,12.3672932834,27.0668015668,82.3786185702,79.3868881524,2.97173041782,0.02
 01/03  23:00:00,71.4202505951,21.0592435404,13.7304495617,0.0,4.12243109448,15.9888894789,74.5772891409,71.585558723,2.97173041782,0.02
 01/03  24:00:00,84.1512007589,27.6119454988,16.8628354229,0.294561772563,4.12243109448,15.9888894789,104.173876614,92.6002721343,2.97173041782,8.60187406198
 01/04  01:00:00,72.4479709503,21.0592435404,13.2837881694,0.0,4.12243109448,15.9888894789,77.2557150581,74.2639846402,2.97173041782,0.02
 01/04  02:00:00,86.2076532183,27.7664924276,16.2579168176,0.783513879052,4.12243109448,15.9888894789,98.375650569,95.3839201512,2.97173041782,0.02
 01/04  03:00:00,76.2745102,22.3471346137,12.4514563023,1.18063322604,4.12243109448,15.9888894789,79.6637787564,76.6720483386,2.97173041782,0.02
 01/04  04:00:00,84.3856409004,26.3240544256,15.678854555,0.0,4.12243109448,15.9888894789,100.131184165,97.1394537471,2.97173041782,0.02
 01/04  05:00:00,109.819700574,33.8898973615,18.5317430382,2.13243194042,12.3672932834,24.9413748627,110.7081531,105.735269071,4.9528840297,0.02
 01/04  06:00:00,129.880106552,33.726025522,21.8433740053,21.047987751,12.3672932834,24.9413748627,174.944612247,169.971728217,4.9528840297,0.02
 01/04  07:00:00,186.614612366,34.9033979218,22.152311415,19.2645366851,24.7345865669,70.7195625826,140.9787688,131.053000741,9.90576805939,0.02
 01/04  08:00:00,203.32463132,35.1336580454,22.4034840899,13.3172119799,37.1018798503,92.3937384068,121.468819541,111.543051481,9.90576805939,0.02
 01/04  09:00:00,211.421777918,35.2351638759,23.4531907798,10.568881098,37.1018798503,104.434947198,114.944270242,105.018502182,9.90576805939,0.02
 01/04  10:00:00,221.800971565,35.4373155531,25.2036494771,6.95380783499,37.1018798503,116.476155989,115.872547324,97.3365742188,9.90576805939,8.63020504557
 01/04  11:00:00,221.337647778,35.9751934264,25.8418383401,5.21350183554,37.1018798503,116.476155989,99.9533030469,90.0275349875,9.90576805939,0.02
 01/04  12:00:00,220.692163089,36.5887133438,25.3415136848,3.80970120531,37.1018798503,116.476155989,103.479300445,84.9364830577,9.90576805939,8.63704932755
 01/04  13:00:00,209.948203252,37.0404420327,24.0568176349,3.13616821216,37.1018798503,104.434947198,91.8512004597,81.9254324003,9.90576805939,0.02
 01/04  14:00:00,219.996725612,37.3324369886,24.3036127092,2.4669119409,37.1018798503,116.476155989,98.6584617018,80.1156512182,9.90576805939,8.63704242419
 01/04  15:00:00,219.632492659,37.3313606975,24.0146322135,1.94896712977,37.1018798503,116.476155989,89.2046795088,79.2789114494,9.90576805939,0.02
 01/04  16:00:00,216.921081835,36.7214440335,23.1089907168,1.84872709165,37.1018798503,116.476155989,100.863361338,82.3239946018,9.90576805939,8.63359867688
 01/04  17:00:00,215.204137858,36.1783953644,22.3123074009,2.05346735124,37.1018798503,116.476155989,95.8565693794,85.93080132,9.90576805939,0.02
 01/04  18:00:00,229.899403266,35.9012498766,21.5861120429,2.44652701166,37.1018798503,116.476155989,97.742230894,87.8164628347,9.90576805939,0.02
 01/04  19:00:00,144.366298177,33.0914048961,18.1652653347,0.0,24.7345865669,47.5788473902,84.30989166,70.747739087,4.9528840297,8.60926854331
 01/04  20:00:00,147.004133284,33.9929286474,17.7614067128,0.0,24.7345865669,47.5788473902,80.5012478375,75.5283638078,4.9528840297,0.02
 01/04  21:00:00,127.965365449,32.10402174,17.6991320453,0.0242569125648,12.3672932834,38.6892022431,93.5406114154,90.5488809976,2.97173041782,0.02
 01/04  22:00:00,106.355697421,25.2484429301,14.3240045303,0.0454278490124,12.3672932834,27.0668015668,80.6718043023,77.6800738845,2.97173041782,0.02
 01/04  23:00:00,80.7974290746,21.0592435404,11.8304669102,0.0,4.12243109448,15.9888894789,73.7644504435,70.7727200257,2.97173041782,0.02
 01/04  24:00:00,98.2566389228,27.8695237134,13.9454713301,0.475473356731,4.12243109448,15.9888894789,94.1163592515,91.1246288337,2.97173041782,0.02
 01/05  01:00:00,85.2246505116,21.8319781844,10.4638799207,0.410569896752,4.12243109448,15.9888894789,77.2954725954,74.3037421776,2.97173041782,0.02
 01/05  02:00:00,94.8279281256,26.8392108548,12.0192879455,0.406832334032,4.12243109448,15.9888894789,96.9154764448,93.923746027,2.97173041782,0.02
 01/05  03:00:00,85.5560304109,22.9138066859,9.0100265367,2.20490510455,4.12243109448,15.9888894789,79.2646388692,76.2729084514,2.97173041782,0.02
 01/05  04:00:00,105.165887355,28.899836572,11.081690466,4.96440989947,4.12243109448,15.9888894789,99.138022972,96.1462925542,2.97173041782,0.02
 01/05  05:00:00,138.778068698,33.4777722181,12.2322598073,3.0676534274,12.3672932834,24.9413748627,109.379006376,104.406122346,4.9528840297,0.02
 01/05  06:00:00,174.543398807,34.2232672489,14.788636358,30.0574631299,12.3672932834,24.9413748627,172.980367561,168.007483531,4.9528840297,0.02
 01/05  07:00:00,224.189549564,34.8412802166,14.1926736039,22.9586196606,24.7345865669,70.7195625826,140.122284945,130.196516886,9.90576805939,0.02
 01/05  08:00:00,235.830374314,35.0105910038,13.8251502807,16.5834441423,37.1018798503,92.3937384068,121.022177181,111.096409122,9.90576805939,0.02
 01/05  09:00:00,237.978426598,35.1754291452,14.8801804001,10.8847902245,37.1018798503,104.434947198,120.443856597,101.911395191,9.90576805939,8.6266933462
 01/05  10:00:00,248.02772548,35.4468511323,16.1502250891,7.9513167569,37.1018798503,116.476155989,103.903592666,93.9778246063,9.90576805939,0.02
 01/05  11:00:00,248.992247648,35.8280025729,16.5287851921,7.23193141638,37.1018798503,116.476155989,107.387972782,88.8468412891,9.90576805939,8.63536343389
 01/05  12:00:00,251.600546408,36.2852109004,17.0486372951,6.26392628097,37.1018798503,116.476155989,94.5775412577,84.6517731983,9.90576805939,0.02
 01/05  13:00:00,241.039205776,36.6880648345,17.9286206053,5.50300190612,37.1018798503,104.434947198,100.065516107,81.5289502238,9.90576805939,8.6307978235
 01/05  14:00:00,250.528094218,36.9551192527,18.2915567676,4.81280400374,37.1018798503,116.476155989,89.571577215,79.6458091556,9.90576805939,0.02
